@timeseries|Year,@value|GlassModuleCompositionScenario|Today#kgperm2,@value|GlassModuleCompositionScenario|Bifacial Projection#kgperm2,@value|AluminiumModuleCompositionScenario|Today#kgperm2,@value|AluminiumModuleCompositionScenario|Bifacial Projection#kgperm2
1995,8,8,3.09118541,3.09118541
1996,8,8,3.017416546,3.017416546
1997,8,8,2.7,2.7
1998,8,8,2.540372671,2.540372671
1999,8,8,2.484698914,2.484698914
2000,8,8,2.433962264,2.433962264
2001,8,8,2.387533875,2.387533875
2002,8,8,2.344887348,2.344887348
2003,8,8,2.317892053,2.317892053
2004,8,8,2.256019262,2.256019262
2005,8,8,2.113832853,2.113832853
2006,8,8,2.083479481,2.083479481
2007,8,8,2.05468216,2.05468216
2008,8,8,2.027324225,2.027324225
2009,8,8,2.00130039,2.00130039
2010,8,8,1.987150659,1.987150659
2011,8,8,1.96659313,1.96659313
2012,8.08,8.08,1.962986198,1.962986198
2013,8.16,8.16,1.619458128,1.619458128
2014,8.2927,8.2927,1.592739726,1.592739726
2015,8.2256625,8.2256625,1.495242424,1.495242424
2016,8.1588875,8.1588875,1.412526316,1.412526316
2017,8.28975,8.28975,1.379820896,1.379820896
2018,8.35015,8.35015,1.361666667,1.361666667
2019,8.6075,8.6075,1.343647059,1.343647059
2020,8.9755,8.9755,1.343647059,1.315058824
2021,8.9755,9.1341,1.343647059,1.26603
2022,8.9755,9.318985,1.343647059,1.217001176
2023,8.9755,9.499705,1.343647059,1.167972353
2024,8.9755,9.67626,1.343647059,1.118943529
2025,8.9755,9.84865,1.343647059,1.069914706
2026,8.9755,10.04472333,1.343647059,1.020885882
2027,8.9755,10.23802,1.343647059,0.971857059
2028,8.9755,10.42854,1.343647059,0.922828235
2029,8.9755,10.624835,1.343647059,0.873799412
2030,8.9755,10.81875,1.343647059,0.824770588
2031,8.9755,10.76625,1.343647059,0.824770588
2032,8.9755,10.76625,1.343647059,0.824770588
2033,8.9755,10.76625,1.343647059,0.824770588
2034,8.9755,10.76625,1.343647059,0.824770588
2035,8.9755,10.76625,1.343647059,0.824770588
2036,8.9755,10.76625,1.343647059,0.824770588
2037,8.9755,10.76625,1.343647059,0.824770588
2038,8.9755,10.76625,1.343647059,0.824770588
2039,8.9755,10.76625,1.343647059,0.824770588
2040,8.9755,10.76625,1.343647059,0.824770588
2041,8.9755,10.76625,1.343647059,0.824770588
2042,8.9755,10.76625,1.343647059,0.824770588
2043,8.9755,10.76625,1.343647059,0.824770588
2044,8.9755,10.76625,1.343647059,0.824770588
2045,8.9755,10.76625,1.343647059,0.824770588
2046,8.9755,10.76625,1.343647059,0.824770588
2047,8.9755,10.76625,1.343647059,0.824770588
2048,8.9755,10.76625,1.343647059,0.824770588
2049,8.9755,10.76625,1.343647059,0.824770588
2050,8.9755,10.76625,1.343647059,0.824770588
