year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,0.1216782,12.5,16,21,5.2,10,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1996,0.1371528,12.7,16,21,5.2,10,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1997,0.19926719999999998,12.88,18,20,5.2,15,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1998,0.2402928,13.06,18,20,5.2,15,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1999,0.322803,13.24,18,20,5.2,15,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2000,0.450198,13.42,22.5,24,5.2,20,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2001,0.495113346,13.6,22.5,24,5.2,20,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2002,0.681914916,13.72222222,22.5,24,5.2,20,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2003,0.8614603799999999,13.84444444,22.5,24,5.2,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2004,1.8090688499999998,13.96666667,22.5,24,5.2,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2005,2.216222208,14.08888889,22.5,24,5.2,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2006,2.276978148,14.21111111,22.5,24,5.2,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2007,3.8738538719999998,14.33333333,24,26,5.2,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2008,9.600048532799999,14.45555556,24,26,5.2,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2009,10.6056543204,14.57777778,24,26,5.2,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2010,25.246044846,14.7,25,27,5.2,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2011,45.083964257999995,15.1,26.5,29,5.2,23,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2012,47.322527111999996,15.4,25,30,5.2,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2013,60.18316199999999,16,27.6,30.2,5.2,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2014,65.285352,16.3,29.5,32,5.2,26,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2015,83.77199999999999,17,32.4,35,5.2,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2016,128.499696,17.5,32.4,35,5.2,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2017,170.03196,17.7,32.6,35,5.2,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2018,172.393434,18.4,33.8,36,5.2,31,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2019,195.3666,19.2,35,37,5.2,32.4,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2020,250.92306000000002,20,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2021,301.41036,20.9,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2022,410.47592399999996,21.1,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2023,819.8415,21.86075153,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2024,1061.13762,22.31841513,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2025,1231.272,22.64893163,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2026,1940.3999999999999,22.90866717,39,42,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2027,2359.7999999999997,23.1230961,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2028,2826.0,23.3059583,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2029,3333.6,23.46552924,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2030,3871.7999999999997,23.6071874,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2031,4428.0,23.73462942,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2032,4987.8,23.85050733,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2033,5529.599999999999,23.9567895,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2034,6037.2,24.05497781,41,44,5.2,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
