year,p-type (Al-BSF),p-type (PERC),p-type (TOPCon),n-type (back contact),n-type (SHJ),n-type (TOPCon),n-type (other),tandem (Si-based)
2016,0.8,0.16,,0.025,0.015,,,
2017,0.74,0.23,,0.015,0.015,,0,
2018,0.6,0.34,,0.02,0.02,0,0.02,
2019,0.33,0.59,,0.025,0.025,0.015,0.015,
2020,0.15,0.76,,0.02,0.02,0.03,0.02,
2021,0.09,0.82,,0.02,0.03,0.04,,
2022,0.05,0.77,0,0.02,0.06,0.1,,
2023,,,,,,,,
2024,0,0.71,0.01,0.04,0.08,0.16,,0
2025,,,,,,,,
2026,0,0.59,0.015,0.04,0.11,0.235,,0.01
2027,,,,,,,,
2028,,,,,,,,
2029,0,0.44,0.02,0.06,0.14,0.32,,0.02
2030,,,,,,,,
2031,,,,,,,,
2032,0,0.3,0.05,0.06,0.19,0.35,,0.05
