year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repair,mod_MerchantTail,mod_Reuse
year,MW,%,years,years,%,years,%,%,%,%,%,%
1995,12.5,12.5,16,21,0.55,15,98,15,40,0,0,0
1996,9.667666667,12.7,16,21,0.55,15,98,15,40,0,0,0
1997,11.622,12.88,19,23,0.55,15,98,15,40,0,0,0
1998,11.781,13.06,19,23,0.55,15,98,15,40,0,0,0
1999,16.88466667,13.24,19,23,0.55,15,98,15,40,0,0,0
2000,20.92666667,13.42,19,23,0.6,25,98,15,40,0,0,0
2001,27.985,13.6,19,23,0.6,25,98,15,40,0,0,0
2002,42.476,13.72222222,19,23,0.6,25,98,15,40,0,0,0
2003,59.745,13.84444444,19,23,0.6,25,98,15,40,0,0,0
2004,94.752,13.96666667,19,23,0.6,25,98,15,40,0,0,0
2005,96.58117322,14.08888889,19,24,0.6,25,98,15,40,0,0,0
2006,98.21307161,14.21111111,20,25,0.6,25,98,15,40,0,0,0
2007,324.2327484,14.33333333,20,25,0.6,25,98,15,40,0,0,0
2008,314.5851087,14.45555556,21,26,0.6,25,98,15,40,0,0,0
2009,431.2448039,14.57777778,24,29,0.6,30,98,15,40,0,0,0
2010,719.8444376,14.7,25,30,0.3,30,98,15,40,0,0,0
2011,1781.377078,15.1,25,30,0.3,30,98,15,40,0,0,0
2012,3064.162281,15.4,25,30,0.3,30,98,15,40,0,0,0
2013,4037.449113,16,28,33,0.3,30,98,15,40,0,0,0
2014,3722.199485,16.3,28,33,0.3,30,98,15,40,0,0,0
2015,6834.328813,17,28,33,0.3,30,98,15,40,0,0,0
2016,12897.66595,17.5,28,33,0.3,30,98,15,40,0,0,0
2017,9784.506215,17.7,28,33,0.3,30,98,15,40,0,0,0
2018,9352.529448,18.4,28,33,0.3,30,98,15,40,0,0,0
2019,10949.78234,19.2,28,33,0.3,30,98,15,40,0,0,0
2020,32144.30119,20.25258849,33,38,0.5,35,98,15,40,0,0,0
2021,45317.03691,20.8948648,33,38,0.5,35,98,15,40,0,0,0
2022,45317.03691,21.36288232,33,38,0.5,35,98,15,40,0,0,0
2023,43612.0562,21.73311205,33,38,0.5,35,98,15,40,0,0,0
2024,43612.0562,22.0403697,33,38,0.5,35,98,15,40,0,0,0
2025,36095.01551,22.30353889,33,38,0.5,35,98,15,40,0,0,0
2026,36095.01551,22.53404502,33,38,0.5,35,98,15,40,0,0,0
2027,58095.90889,22.73934244,40,44,0.5,35,98,15,40,0,0,0
2028,58095.90889,22.92457161,40,44,0.5,35,98,15,40,0,0,0
2029,101496.4255,23.09343124,40,44,0.5,35,98,15,40,0,0,0
2030,101496.4255,23.24867384,40,44,0.5,35,98,15,40,0,0,0
2031,135294.9763,23.39240459,40,44,0.5,35,98,15,40,0,0,0
2032,135294.9763,23.52627057,40,44,0.5,35,98,15,40,0,0,0
2033,102565.1296,23.6515853,40,44,0.5,35,98,15,40,0,0,0
2034,102565.1296,23.76941358,40,44,0.5,35,98,15,40,0,0,0
2035,57419.09967,23.88063087,40,44,0.5,35,98,15,40,0,0,0
2036,57419.09967,23.98596588,40,44,0.5,35,98,15,40,0,0,0
2037,78667.47245,24.08603183,40,44,0.5,35,98,15,40,0,0,0
2038,78667.47245,24.18134974,40,44,0.5,35,98,15,40,0,0,0
2039,28107.89363,24.27236612,40,44,0.5,35,98,15,40,0,0,0
2040,28107.89363,24.35946665,40,44,0.5,35,98,15,40,0,0,0
2041,61058.01691,24.44298673,40,44,0.5,35,98,15,40,0,0,0
2042,61058.01691,24.52322,40,44,0.5,35,98,15,40,0,0,0
2043,56555.13983,24.60042496,40,44,0.5,35,98,15,40,0,0,0
2044,56555.13983,24.67483041,40,44,0.5,35,98,15,40,0,0,0
2045,71331.75917,24.74663989,40,44,0.5,35,98,15,40,0,0,0
2046,71331.75917,24.81603524,40,44,0.5,35,98,15,40,0,0,0
2047,96095.00773,24.88317962,40,44,0.5,35,98,15,40,0,0,0
2048,96095.00773,24.94822001,40,44,0.5,35,98,15,40,0,0,0
2049,98823.68794,25.01128927,40,44,0.5,35,98,15,40,0,0,0
2050,98823.68794,25.07250791,40,44,0.5,35,98,15,40,0,0,0
