year,State,New Installs,Type
2018,AL,205.0182997,PV
2019,AL,2.210000595,PV
2020,AL,2.210000595,PV
2021,AL,4.017779915,PV
2022,AL,4.017779915,PV
2023,AL,1.73570034,PV
2024,AL,1.73570034,PV
2025,AL,3.05575017,PV
2026,AL,3.05575017,PV
2027,AL,780.2028867,PV
2028,AL,780.2028867,PV
2029,AL,1551.12051,PV
2030,AL,1551.12051,PV
2031,AL,1696.67055,PV
2032,AL,1696.67055,PV
2033,AL,78.15665,PV
2034,AL,78.15665,PV
2035,AL,83.37650068,PV
2036,AL,83.37650068,PV
2037,AL,62.19024966,PV
2038,AL,62.19024966,PV
2039,AL,46.08190043,PV
2040,AL,46.08190043,PV
2041,AL,31.08024992,PV
2042,AL,31.08024992,PV
2043,AL,22.95594983,PV
2044,AL,22.95594983,PV
2045,AL,23.31464949,PV
2046,AL,23.31464949,PV
2047,AL,26.84470085,PV
2048,AL,26.84470085,PV
2049,AL,25.52124949,PV
2050,AL,25.52124949,PV
2018,AR,107.8701004,PV
2019,AR,0.961349235,PV
2020,AR,0.961349235,PV
2021,AR,1.172150595,PV
2022,AR,1.172150595,PV
2023,AR,2.497299915,PV
2024,AR,2.497299915,PV
2025,AR,7.168049405,PV
2026,AR,7.168049405,PV
2027,AR,660.08367,PV
2028,AR,660.08367,PV
2029,AR,504.1724517,PV
2030,AR,504.1724517,PV
2031,AR,57.76260017,PV
2032,AR,57.76260017,PV
2033,AR,113.5795495,PV
2034,AR,113.5795495,PV
2035,AR,165.0912502,PV
2036,AR,165.0912502,PV
2037,AR,155.6137498,PV
2038,AR,155.6137498,PV
2039,AR,137.1015997,PV
2040,AR,137.1015997,PV
2041,AR,109.3584509,PV
2042,AR,109.3584509,PV
2043,AR,94.809,PV
2044,AR,94.809,PV
2045,AR,79.84304966,PV
2046,AR,79.84304966,PV
2047,AR,690.0657004,PV
2048,AR,690.0657004,PV
2049,AR,2891.313348,PV
2050,AR,2891.313348,PV
2018,AZ,3032.21146,PV
2019,AZ,117.9460004,PV
2020,AZ,117.9460004,PV
2021,AZ,1572.6326,PV
2022,AZ,1572.6326,PV
2023,AZ,73.88030034,PV
2024,AZ,73.88030034,PV
2025,AZ,68.57119924,PV
2026,AZ,68.57119924,PV
2027,AZ,459.5604557,PV
2028,AZ,459.5604557,PV
2029,AZ,228.4531907,PV
2030,AZ,228.4531907,PV
2031,AZ,305.202625,PV
2032,AZ,305.202625,PV
2033,AZ,390.0820646,PV
2034,AZ,390.0820646,PV
2035,AZ,300.0133722,PV
2036,AZ,300.0133722,PV
2037,AZ,625.5171865,PV
2038,AZ,625.5171865,PV
2039,AZ,766.9235809,PV
2040,AZ,766.9235809,PV
2041,AZ,1930.511499,PV
2042,AZ,1930.511499,PV
2043,AZ,1966.737537,PV
2044,AZ,1966.737537,PV
2045,AZ,2207.045313,PV
2046,AZ,2207.045313,PV
2047,AZ,32.08239975,PV
2048,AZ,32.08239975,PV
2049,AZ,32.93580043,PV
2050,AZ,32.93580043,PV
2018,CA,18510.96255,PV
2019,CA,909.3588997,PV
2020,CA,909.3588997,PV
2021,CA,7324.234805,PV
2022,CA,7324.234805,PV
2023,CA,326.5155996,PV
2024,CA,326.5155996,PV
2025,CA,2133.518702,PV
2026,CA,2133.518702,PV
2027,CA,4263.911158,PV
2028,CA,4263.911158,PV
2029,CA,4371.499458,PV
2030,CA,4371.499458,PV
2031,CA,3120.055315,PV
2032,CA,3120.055315,PV
2033,CA,1186.353594,PV
2034,CA,1186.353594,PV
2035,CA,1194.339475,PV
2036,CA,1194.339475,PV
2037,CA,1163.882046,PV
2038,CA,1163.882046,PV
2039,CA,2721.188886,PV
2040,CA,2721.188886,PV
2041,CA,3349.743509,PV
2042,CA,3349.743509,PV
2043,CA,1784.296819,PV
2044,CA,1784.296819,PV
2045,CA,2343.539791,PV
2046,CA,2343.539791,PV
2047,CA,1246.952124,PV
2048,CA,1246.952124,PV
2049,CA,915.5203996,PV
2050,CA,915.5203996,PV
2018,CO,968.3433741,PV
2019,CO,67.63365043,PV
2020,CO,67.63365043,PV
2021,CO,55.08424966,PV
2022,CO,55.08424966,PV
2023,CO,38.0298506,PV
2024,CO,38.0298506,PV
2025,CO,47.46229983,PV
2026,CO,47.46229983,PV
2027,CO,464.2279948,PV
2028,CO,464.2279948,PV
2029,CO,1515.088772,PV
2030,CO,1515.088772,PV
2031,CO,59.19824966,PV
2032,CO,59.19824966,PV
2033,CO,2078.173883,PV
2034,CO,2078.173883,PV
2035,CO,4606.910971,PV
2036,CO,4606.910971,PV
2037,CO,57.84079983,PV
2038,CO,57.84079983,PV
2039,CO,61.89190051,PV
2040,CO,61.89190051,PV
2041,CO,51.87889949,PV
2042,CO,51.87889949,PV
2043,CO,56.86032568,PV
2044,CO,56.86032568,PV
2045,CO,52.87764966,PV
2046,CO,52.87764966,PV
2047,CO,49.83889966,PV
2048,CO,49.83889966,PV
2049,CO,49.37310042,PV
2050,CO,49.37310042,PV
2018,CT,1115.456843,PV
2019,CT,352.7399757,PV
2020,CT,352.7399757,PV
2021,CT,136.8721003,PV
2022,CT,136.8721003,PV
2023,CT,101.2936495,PV
2024,CT,101.2936495,PV
2025,CT,98.0288006,PV
2026,CT,98.0288006,PV
2027,CT,178.9742994,PV
2028,CT,178.9742994,PV
2029,CT,226.3368843,PV
2030,CT,226.3368843,PV
2031,CT,202.8590001,PV
2032,CT,202.8590001,PV
2033,CT,106.0366502,PV
2034,CT,106.0366502,PV
2035,CT,20.81734957,PV
2036,CT,20.81734957,PV
2037,CT,361.7496218,PV
2038,CT,361.7496218,PV
2039,CT,65.86617709,PV
2040,CT,65.86617709,PV
2041,CT,90.55566605,PV
2042,CT,90.55566605,PV
2043,CT,0.2618,PV
2044,CT,0.2618,PV
2045,CT,2.844949745,PV
2046,CT,2.844949745,PV
2047,CT,0.62305034,PV
2048,CT,0.62305034,PV
2049,CT,651.3108031,PV
2050,CT,651.3108031,PV
2018,DE,724.008422,PV
2019,DE,172.9969566,PV
2020,DE,172.9969566,PV
2021,DE,132.4067766,PV
2022,DE,132.4067766,PV
2023,DE,1152.064367,PV
2024,DE,1152.064367,PV
2025,DE,31.98380026,PV
2026,DE,31.98380026,PV
2027,DE,31.51374958,PV
2028,DE,31.51374958,PV
2029,DE,36.47945043,PV
2030,DE,36.47945043,PV
2031,DE,30.03474975,PV
2032,DE,30.03474975,PV
2033,DE,4.13779949,PV
2034,DE,4.13779949,PV
2035,DE,4.070650595,PV
2036,DE,4.070650595,PV
2037,DE,4.54749966,PV
2038,DE,4.54749966,PV
2039,DE,4.04345051,PV
2040,DE,4.04345051,PV
2041,DE,2.3375,PV
2042,DE,2.3375,PV
