,2024,2035,2045,2050
DecommisionedCapacity_sim1_Residential_[MW],1327.154660652428,8706.02368627717,40187.36826890847,85205.90800870443
DecommisionedCapacity_sim1_Commercial_[MW],1188.0561175350267,7456.881662296088,33298.95252881979,75103.3915766594
DecommisionedCapacity_sim1_Utility_[MW],3862.408330422768,33017.31335412437,102511.60600898275,178250.52715242584
DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],6377.619108610204,49180.21870269766,142848.89836511225,240688.3525555823
DecommisionedCapacity_sim1_Residential c-Si_[MW],1327.154660652428,8706.02368627717,40187.36826890847,85205.90800870443
DecommisionedCapacity_sim1_Commercial c-Si_[MW],1183.9771589881057,7385.878964984862,33099.051127528655,74802.45002799015
DecommisionedCapacity_sim1_Utility c-Si_[MW],2666.7623350072827,22169.582415186916,73974.20994202164,136381.94549166365
DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],5177.894154647773,38261.48506644904,114111.60089686,198518.82934615086
Annual_DecommisionedCapacity_sim1_Residential_[MW],286.63636052167567,1211.490455271094,4974.587670001667,11707.470261133276
Annual_DecommisionedCapacity_sim1_Commercial_[MW],214.9993085875467,1193.080590118465,4591.629697062657,10636.44051680318
Annual_DecommisionedCapacity_sim1_Utility_[MW],895.8634423094918,4640.597770911409,7494.810945117497,22293.83511466789
Annual_DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],1397.4991114186996,7045.168816301157,8942.528352388414,28010.623286087997
Annual_DecommisionedCapacity_sim1_Residential c-Si_[MW],286.63636052167567,1211.490455271094,4974.587670001667,11707.470261133276
Annual_DecommisionedCapacity_sim1_Commercial c-Si_[MW],213.62648890023775,1181.7655197817076,4579.519099928439,10612.013008754468
Annual_DecommisionedCapacity_sim1_Utility c-Si_[MW],623.7679458922357,3165.645610667474,6340.805223717005,18146.316891464405
Annual_DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],1124.0307953141455,5558.901585720421,7776.412033853703,23838.677554835565
WasteAll_Module_sim1_Residential c-Si_[Tonnes]_[million Tonnes],0.01,0.12,0.59,1.24
WasteAll_Module_sim1_Commercial c-Si_[Tonnes]_[million Tonnes],0.01,0.23,0.57,1.12
WasteAll_Module_sim1_Utility c-Si_[Tonnes]_[million Tonnes],0.0,0.17,1.16,2.65
WasteAll_Module_sim1_All Sector c-Si Installs_[MWdc]_[Tonnes]_[million Tonnes],0.02,0.52,2.32,5.02
Annual_WasteAll_Module_sim1_Residential c-Si_[Tonnes],2236.57,29106.57,4322.02,192904.78
Annual_WasteAll_Module_sim1_Commercial c-Si_[Tonnes],2976.83,62047.45,4339.47,139712.15
Annual_WasteAll_Module_sim1_Utility c-Si_[Tonnes],428.65,78800.19,9494.53,579488.23
Annual_WasteAll_Module_sim1_All Sector c-Si Installs_[MWdc]_[Tonnes],5642.05,169954.21,18156.02,912105.14
