,2024,2035,2045,2050
DecommisionedCapacity_sim1_Residential_[MW],1327.154660652428,8706.02368627717,23612.85404810912,36270.17091760083
DecommisionedCapacity_sim1_Commercial_[MW],1188.0561175350267,7456.881662296088,16724.438308020435,26167.654485555737
DecommisionedCapacity_sim1_Utility_[MW],3862.408330422768,33017.31335412437,85937.09178818349,129314.79006132233
DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],6377.619108610204,49180.21870269766,126274.38414431293,191752.61546447896
DecommisionedCapacity_sim1_Residential c-Si_[MW],1327.154660652428,8706.02368627717,23612.85404810912,36270.17091760083
DecommisionedCapacity_sim1_Commercial c-Si_[MW],1183.9771589881057,7385.878964984862,16524.536906729278,25866.712936886484
DecommisionedCapacity_sim1_Utility c-Si_[MW],2666.7623350072827,22169.582415186916,57399.69572122244,87446.20840056016
DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],5177.894154647773,38261.48506644904,97537.08667606063,149583.09225504735
Annual_DecommisionedCapacity_sim1_Residential_[MW],286.63636052167567,1211.490455271094,915.3376901049342,3393.908957875188
Annual_DecommisionedCapacity_sim1_Commercial_[MW],214.9993085875467,1193.080590118465,532.3797171657861,2322.8792135447875
Annual_DecommisionedCapacity_sim1_Utility_[MW],895.8634423094918,4640.597770911409,3435.560965220793,13980.27381140989
Annual_DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],1397.4991114186996,7045.168816301157,4883.278372491361,19697.06198282994
Annual_DecommisionedCapacity_sim1_Residential c-Si_[MW],286.63636052167567,1211.490455271094,915.3376901049342,3393.908957875188
Annual_DecommisionedCapacity_sim1_Commercial c-Si_[MW],213.62648890023775,1181.7655197817076,520.2691200315894,2298.451705496249
Annual_DecommisionedCapacity_sim1_Utility c-Si_[MW],623.7679458922357,3165.645610667474,2281.5552438204177,9832.755588206142
Annual_DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],1124.0307953141455,5558.901585720421,3717.162053956883,15525.116251577565
