,,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,1.6m$^2$,2024,115987.04631441746,154560.90926293196,27154.374737682712,297702.33031503204,115987.04631441746,154560.90278206803,22589.39962268229,293137.34871916764
yearly,1.6m$^2$,2035,1554721.7915455524,3313052.002907249,5640080.646249318,10507854.440702116,1554721.7915455524,3313003.127263487,4208155.714684819,9075880.633493857
yearly,1.6m$^2$,2045,237503.2773721722,240414.28186757595,680435.8484322561,1158353.407672004,237503.2773721722,238662.07214452449,521490.42388060957,997655.7733973066
yearly,1.6m$^2$,2050,10216487.570956802,7452345.348828061,42852459.87124825,60521292.79103313,10216487.570956802,7399966.287200923,30689554.79344685,48306008.651604585
yearly,2m$^2$,2024,92789.63705153397,123648.72741034557,21723.499790146172,238161.86425202567,92789.63705153397,123648.72222565443,18071.519698145832,234509.87897533414
yearly,2m$^2$,2035,1243777.433236442,2650441.6023257994,4512064.516999454,8406283.552561693,1243777.433236442,2650402.5018107896,3366524.5717478553,7260704.506795087
yearly,2m$^2$,2045,190002.62189773776,192331.42549406076,544348.6787458049,926682.7261376034,190002.62189773776,190929.6577156196,417192.3391044877,798124.6187178453
yearly,2m$^2$,2050,8173190.056765442,5961876.279062449,34281967.89699861,48417034.2328265,8173190.056765442,5919973.029760739,24551643.83475748,38644806.92128367
cumulative,1.6m$^2$,2024,355749.89062056947,377461.61100538314,158792.52663995442,892004.028265907,355749.89062056947,377461.6020118318,148479.4750235229,881690.967655924
cumulative,1.6m$^2$,2035,6386418.618872923,12456961.13145291,12671269.24172841,31514648.99205424,6386418.618872923,12456857.098211568,8875585.640380178,27718861.357464667
cumulative,1.6m$^2$,2045,32152310.925808277,31247171.41248106,93972692.17188004,157372174.51016936,32152310.925808277,31214377.811846416,63500002.719002455,126866691.45665717
cumulative,1.6m$^2$,2050,67467174.88073756,61204565.66399085,207233291.27240047,335905031.8171288,67467174.88073756,60985623.817403674,144338035.62857717,272790834.32671845
cumulative,2m$^2$,2024,284599.9124964556,301969.28880430653,127034.02131196354,713603.2226127256,284599.9124964556,301969.2816094655,118783.58001881832,705352.7741247392
cumulative,2m$^2$,2035,5109134.895098339,9965568.905162329,10137015.393382728,25211719.19364339,5109134.895098339,9965485.678569255,7100468.512304142,22175089.085971735
cumulative,2m$^2$,2045,25721848.740646623,24997737.12998485,75178153.73750404,125897739.60813549,25721848.740646623,24971502.249477133,50800002.17520197,101493353.16532575
cumulative,2m$^2$,2050,53973739.904590055,48963652.53119268,165786633.01792037,268724025.45370305,53973739.904590055,48788499.053922944,115470428.50286174,218232667.46137476
