,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,2024,185579.27410306793,247297.4548206911,43446.999580292344,476323.72850405134,185579.27410306793,247297.44445130884,36143.039396291664,469019.7579506683
yearly,2035,2487554.8664728836,5300883.204651598,9024129.033998907,16812567.105123382,2487554.8664728836,5300805.003621578,6733049.14349571,14521409.013590174
yearly,2045,380005.2437954755,384662.8509881215,1088697.3574916099,1853365.4522752068,380005.2437954755,381859.3154312392,834384.6782089754,1596249.2374356906
yearly,2050,16346380.113530884,11923752.558124898,68563935.79399721,96834068.465653,16346380.113530884,11839946.059521478,49103287.66951496,77289613.84256734
cumulative,2024,569199.8249929112,603938.577608613,254068.04262392706,1427206.4452254511,569199.8249929112,603938.5632189309,237567.16003763664,1410705.5482494785
cumulative,2035,10218269.790196678,19931137.81032466,20274030.786765452,50423438.38728678,10218269.790196678,19930971.357138515,14200937.024608284,44350178.17194347
cumulative,2045,51443697.481293246,49995474.259969704,150356307.47500807,251795479.21627098,51443697.481293246,49943004.49895427,101600004.35040393,202986706.33065152
cumulative,2050,107947479.80918013,97927305.06238538,331573266.03584075,537448050.9074061,107947479.80918013,97576998.10784589,230940857.00572348,436465334.9227495
