,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,2030,1292388.8029847206,1712737.35700491,1319195.4606986786,4324321.62068831,1292388.8029847206,1712439.8866747164,822860.8476742586,3827689.5373336957
yearly,2050,13860405.431580715,9940944.049692502,60610404.27402912,84411753.7553024,13860405.431580715,9920164.544569297,42896884.3238074,66677454.29995739
cumulative,2030,4205839.227273198,6590252.742972034,3769265.172979745,14565357.143224977,4205839.227273198,6589560.973223838,2411429.6288449382,13206829.829341972
cumulative,2050,111743478.05539674,100219267.67089298,350163524.0332359,562126269.7595257,111743478.05539674,99928395.44123356,243799029.26715434,455470902.7637846
