year,newInstalledCapacity_sim1_Residential_[MW],newInstalledCapacity_sim1_Commercial_[MW],newInstalledCapacity_sim1_Utility_[MW],newInstalledCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],newInstalledCapacity_sim1_Residential c-Si_[MW],newInstalledCapacity_sim1_Commercial c-Si_[MW],newInstalledCapacity_sim1_Utility c-Si_[MW],newInstalledCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],ActiveCapacity_sim1_Residential_[MW],DecommisionedCapacity_sim1_Residential_[MW],ActiveCapacity_sim1_Commercial_[MW],DecommisionedCapacity_sim1_Commercial_[MW],ActiveCapacity_sim1_Utility_[MW],DecommisionedCapacity_sim1_Utility_[MW],ActiveCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],ActiveCapacity_sim1_Residential c-Si_[MW],DecommisionedCapacity_sim1_Residential c-Si_[MW],ActiveCapacity_sim1_Commercial c-Si_[MW],DecommisionedCapacity_sim1_Commercial c-Si_[MW],ActiveCapacity_sim1_Utility c-Si_[MW],DecommisionedCapacity_sim1_Utility c-Si_[MW],ActiveCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],Annual_DecommisionedCapacity_sim1_Residential_[MW],Annual_DecommisionedCapacity_sim1_Commercial_[MW],Annual_DecommisionedCapacity_sim1_Utility_[MW],Annual_DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],Annual_DecommisionedCapacity_sim1_Residential c-Si_[MW],Annual_DecommisionedCapacity_sim1_Commercial c-Si_[MW],Annual_DecommisionedCapacity_sim1_Utility c-Si_[MW],Annual_DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW]
1995,9.7,,12.0,21.7,9.7,,12.0,21.7,9.7,0.0,0.0,,12.0,0.0,21.7,0.0,9.7,0.0,0.0,,12.0,0.0,21.7,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
1996,1.3000000000000007,,0.0,1.3000000000000007,1.3000000000000007,,0.0,1.3000000000000007,10.927217765333388,0.0727822346666116,0.0,,11.909960122061925,0.09003987793807511,22.83717788739531,0.16282211260469026,10.927217765333388,0.0727822346666116,0.0,,11.909960122061925,0.09003987793807511,22.83717788739531,0.16282211260469026,0.0727822346666116,,0.09003987793807511,0.16282211260469026,0.0727822346666116,,0.09003987793807511,0.16282211260469026
1997,2.6999999999999993,,0.0,2.6999999999999993,2.6999999999999993,,0.0,2.6999999999999993,13.544608903556414,0.1553910964435854,0.0,,11.819830792164584,0.1801692078354158,25.364439695721003,0.33556030427899586,13.544608903556414,0.1553910964435854,0.0,,11.819830792164584,0.1801692078354158,25.364439695721003,0.33556030427899586,0.0826088617769738,,0.09012932989734068,0.1727381916743056,0.0826088617769738,,0.09012932989734068,0.1727381916743056
1998,2.200000000000001,,0.0,2.200000000000001,2.200000000000001,,0.0,2.200000000000001,15.639558351357582,0.26044164864241814,0.0,,11.727002081080114,0.2729979189198861,27.366560432437698,0.5334395675623007,15.639558351357582,0.26044164864241814,0.0,,11.727002081080114,0.2729979189198861,27.366560432437698,0.5334395675623007,0.10505055219883275,,0.09282871108447033,0.19787926328330485,0.10505055219883275,,0.09282871108447033,0.19787926328330485
1999,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,15.511506478835352,0.38849352116464786,3.0,0.0,11.626304385661479,0.37369561433852105,30.137810864496835,0.7621891355031636,15.511506478835352,0.38849352116464786,3.0,0.0,11.626304385661479,0.37369561433852105,30.137810864496835,0.7621891355031636,0.12805187252222971,0.0,0.10069769541863494,0.22874956794086287,0.12805187252222971,0.0,0.10069769541863494,0.22874956794086287
2000,0.0,3.0,0.6,3.6,0.0,3.0,0.6,3.6,15.3699731381836,0.5300268618164008,5.977499999999989,0.022500000000010623,12.109643624296409,0.49035637570359114,33.457116762480005,1.0428832375199946,15.3699731381836,0.5300268618164008,5.977499999999989,0.022500000000010623,12.109643624296409,0.49035637570359114,33.457116762480005,1.0428832375199946,0.14153334065175294,0.022500000000010623,0.11666076136507009,0.280694102016831,0.14153334065175294,0.022500000000010623,0.11666076136507009,0.280694102016831
2001,5.7,2.6000000000000005,3.6999999999999993,12.0,5.7,2.6000000000000005,3.6999999999999993,12.0,20.90503822366612,0.69496177633388,8.532668749972576,0.06733125002742568,15.661334896108203,0.6386651038917943,45.099041869746905,1.4009581302530947,20.90503822366612,0.69496177633388,8.532668749972576,0.06733125002742568,15.661334896108203,0.6386651038917943,45.099041869746905,1.4009581302530947,0.16493491451747921,0.04483125002741506,0.14830872818820318,0.3580748927331001,0.16493491451747921,0.04483125002741506,0.14830872818820318,0.3580748927331001
2002,11.5,8.8,2.6999999999999993,23.0,11.5,8.8,2.6999999999999993,23.0,32.16125736395944,0.9387426360405584,17.268673731611983,0.13132626838801897,18.143959955841474,0.8560400441585223,67.57389105141291,1.9261089485870855,32.16125736395944,0.9387426360405584,17.268673731611983,0.13132626838801897,18.143959955841474,0.8560400441585223,67.57389105141291,1.9261089485870855,0.2437808597066784,0.06399501836059329,0.217374940266728,0.5251508183339908,0.2437808597066784,0.06399501836059329,0.217374940266728,0.5251508183339908
2003,15.6,26.6,3.5999999999999943,45.8,15.6,26.6,3.5999999999999943,45.8,47.38032388023314,1.3196761197668607,43.73915860863176,0.26084139136823836,21.44842426805239,1.1515757319476023,112.5679067569173,2.7320932430827014,47.38032388023314,1.3196761197668607,43.73915860863176,0.26084139136823836,21.44842426805239,1.1515757319476023,112.5679067569173,2.7320932430827014,0.3809334837263023,0.1295151229802194,0.29553568778908,0.8059842944956159,0.3809334837263023,0.1295151229802194,0.29553568778908,0.8059842944956159
2004,24.5,31.200000000000003,2.0999999999999943,57.8,24.5,31.200000000000003,2.0999999999999943,57.8,71.31532992343551,1.8846700765644897,74.61111407349225,0.5888859265077571,23.149625417286284,1.550374582713701,169.07606941421403,4.023930585785962,71.31532992343551,1.8846700765644897,74.61111407349225,0.5888859265077571,23.149625417286284,1.550374582713701,169.07606941421403,4.023930585785962,0.564993956797629,0.3280445351395187,0.39879885076609867,1.2918373427032606,0.564993956797629,0.3280445351395187,0.39879885076609867,1.2918373427032606
