,,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,1.6m$^2$,2024,115987.04631441746,154560.90926293193,27154.374737682712,297702.33031503204,115987.04631441746,154560.902782068,22589.39962268229,293137.34871916764
yearly,1.6m$^2$,2035,1554721.7889352283,3313052.0012527774,5640080.626378306,10507854.416566307,1554721.7889352283,3313003.12565865,4208155.701768662,9075880.616362542
yearly,1.6m$^2$,2045,237323.8056799482,240304.3212922158,679137.4290946429,1156765.556066807,237323.8056799482,238555.41038642515,520646.45131116104,996525.6673775346
yearly,1.6m$^2$,2050,10210060.191652874,7448465.242157297,42807319.18462733,60465844.61843752,10210060.191652874,7396202.583730283,30660213.34714325,48266476.122526415
yearly,2m$^2$,2024,92789.63705153397,123648.72741034556,21723.499790146172,238161.86425202567,92789.63705153397,123648.72222565442,18071.519698145832,234509.87897533414
yearly,2m$^2$,2035,1243777.4311481826,2650441.601002222,4512064.501102645,8406283.533253046,1243777.4311481826,2650402.50052692,3366524.5614149296,7260704.4930900335
yearly,2m$^2$,2045,189859.04454395856,192243.45703377266,543309.9432757143,925412.4448534455,189859.04454395856,190844.32830914014,416517.16104892886,797220.5339020276
yearly,2m$^2$,2050,8168048.153322299,5958772.193725838,34245855.34770187,48372675.69475002,8168048.153322299,5916962.066984227,24528170.6777146,38613180.89802113
cumulative,1.6m$^2$,2024,355749.89062056947,377461.6110053831,158792.5266399544,892004.028265907,355749.89062056947,377461.60201183177,148479.4750235229,881690.967655924
cumulative,1.6m$^2$,2035,6386418.615707197,12456961.129444623,12671269.217602866,31514648.96275468,6386418.615707197,12456857.09626353,8875585.624698574,27718861.3366693
cumulative,1.6m$^2$,2045,32151998.484214902,31246979.574895095,93970423.24852206,157369401.30763203,32151998.484214902,31214191.729388032,63498527.91881976,126864718.13242273
cumulative,1.6m$^2$,2050,67454191.61752965,61196705.390887044,207141562.0974885,335792459.1059051,67454191.61752965,60977999.352492966,144278411.6648844,272710602.63490695
cumulative,2m$^2$,2024,284599.9124964556,301969.2888043065,127034.02131196353,713603.2226127256,284599.9124964556,301969.2816094654,118783.58001881832,705352.7741247392
cumulative,2m$^2$,2035,5109134.892565758,9965568.903555699,10137015.374082293,25211719.170203745,5109134.892565758,9965485.677010825,7100468.49975886,22175089.069335442
cumulative,2m$^2$,2045,25721598.787371922,24997583.659916077,75176338.59881765,125895521.04610564,25721598.787371922,24971353.383510426,50798822.33505581,101491774.50593819
cumulative,2m$^2$,2050,53963353.294023715,48957364.31270964,165713249.6779908,268633967.2847241,53963353.294023715,48782399.481994376,115422729.33190751,218168482.1079256
