,2022,2030,2050
DecommisionedCapacity_sim1_Residential_[MW],856.5300323955453,2627.7869033139395,20667.69867415021
DecommisionedCapacity_sim1_Commercial_[MW],862.6617474162667,2694.5198896538786,17957.24100377432
DecommisionedCapacity_sim1_Utility_[MW],2319.7297290969145,7182.161258719643,66300.04008539845
DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],4038.921508908723,12504.46805168745,104924.97976332298
DecommisionedCapacity_sim1_Residential c-Si_[MW],856.5300323955453,2627.7869033139395,20667.69867415021
DecommisionedCapacity_sim1_Commercial c-Si_[MW],860.9083363036843,2689.436127501609,17903.550570632575
DecommisionedCapacity_sim1_Utility c-Si_[MW],1597.8097655330566,4954.851566704179,46267.71329275018
DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],3315.248134232301,10272.074597519735,84838.96253753295
Annual_DecommisionedCapacity_sim1_Residential_[MW],188.44800369162476,324.54000354501477,2257.3272047304417
Annual_DecommisionedCapacity_sim1_Commercial_[MW],168.86798585208817,349.51314645352613,1616.4752416459687
Annual_DecommisionedCapacity_sim1_Utility_[MW],572.7097477268981,712.021813130923,9861.374719378859
Annual_DecommisionedCapacity_sim1_All Sector All Tech Installs_[MWdc]_[MW],930.0257372706401,1386.0749631294748,13735.177165755274
Annual_DecommisionedCapacity_sim1_Residential c-Si_[MW],188.44800369162476,324.54000354501477,2257.3272047304417
Annual_DecommisionedCapacity_sim1_Commercial c-Si_[MW],168.45139579780516,349.07413720158,1613.1006470144875
Annual_DecommisionedCapacity_sim1_Utility c-Si_[MW],399.3217213033713,484.28275308235607,6977.398165356863
Annual_DecommisionedCapacity_sim1_All Sector c-Si Installs_[MWdc]_[MW],756.2211207928194,1157.8968938289763,10847.826017101776
