,,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,1.6m$^2$,2024,977.0794446996186,14542.604988171657,302.8077607389505,15822.492193610233,977.0794446996186,14542.604988171648,302.589749357417,15822.274182228684
yearly,1.6m$^2$,2035,180454.80739053083,294320.3330744208,30805.27445927508,505580.4149242271,180454.80739053083,294320.32934772305,28939.355064271447,503714.4918025257
yearly,1.6m$^2$,2045,60512.6763511979,111730.98931605183,214740.81649546107,386984.48216271074,60512.6763511979,111709.64796214164,152166.32209635383,324388.64640969335
yearly,1.6m$^2$,2050,6786273.493658041,3356981.6485669906,13402822.743397703,23546077.885622725,6786273.493658041,3354907.393844159,10872982.28306924,21014163.170571443
yearly,2m$^2$,2024,781.663555759695,11634.083990537327,242.2462085911604,12657.993754888186,781.663555759695,11634.08399053732,242.0717994859336,12657.819345782947
yearly,2m$^2$,2035,144363.84591242467,235456.26645953668,24644.219567420063,404464.3319393817,144363.84591242467,235456.26347817844,23151.48405141716,402971.5934420206
yearly,2m$^2$,2045,48410.141080958325,89384.79145284147,171792.65319636886,309587.5857301686,48410.141080958325,89367.71836971332,121733.05767708307,259510.91712775468
yearly,2m$^2$,2050,5429018.794926433,2685585.3188535925,10722258.194718163,18836862.30849818,5429018.794926433,2683925.9150753273,8698385.826455392,16811330.536457155
cumulative,1.6m$^2$,2024,75327.50201521495,16469.938123586802,56428.21265788265,148225.6527966844,75327.50201521495,16469.93812358679,56427.91073066426,148225.35086946594
cumulative,1.6m$^2$,2035,841816.2030679275,1225784.1814840308,154391.83015607172,2221992.21470803,841816.2030679275,1225784.1761216049,150479.9449801393,2218080.324169672
cumulative,1.6m$^2$,2045,3899513.95209737,7250757.549414956,4712536.672990929,15862808.17450326,3899513.95209737,7250716.055854426,3022011.9649978913,14172241.972949693
cumulative,1.6m$^2$,2050,19239599.258825257,21423341.661051705,46753412.1538913,87416353.07376827,19239599.258825257,21417288.41293646,28468463.46886565,69125351.14062737
cumulative,2m$^2$,2024,60262.00161217196,13175.950498869443,45142.57012630612,118580.52223734751,60262.00161217196,13175.950498869435,45142.32858453141,118580.28069557276
cumulative,2m$^2$,2035,673452.962454342,980627.3451872247,123513.46412485739,1777593.7717664244,673452.962454342,980627.3408972839,120383.95598411144,1774464.2593357377
cumulative,2m$^2$,2045,3119611.161677896,5800606.039531965,3770029.3383927434,12690246.539602607,3119611.161677896,5800572.844683541,2417609.571998313,11337793.578359755
cumulative,2m$^2$,2050,15391679.407060208,17138673.328841366,37402729.723113045,69933082.45901462,15391679.407060208,17133830.73034917,22774770.775092524,55300280.9125019
