year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,3.177153,12.5,16,21,0.75,10,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1996,3.581212,12.7,16,21,0.75,10,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1997,5.203087999999999,12.88,18,20,0.75,15,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1998,6.274312,13.06,18,20,0.75,15,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1999,8.428745000000001,13.24,18,20,0.75,15,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2000,11.755170000000001,13.42,22.5,24,0.75,20,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2001,12.17353956,13.6,22.5,24,0.75,20,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2002,15.26600138,13.72222222,22.5,24,0.75,20,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2003,23.6031509,13.84444444,22.5,24,0.75,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2004,48.503741500000004,13.96666667,22.5,24,0.75,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2005,66.00461073999999,14.08888889,22.5,24,0.75,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2006,67.25391069,14.21111111,22.5,24,0.75,20,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2007,100.81577973,14.33333333,24,26,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2008,243.64118359000003,14.45555556,24,26,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2009,309.293865756,14.57777778,24,26,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2010,698.7422940399999,14.7,25,27,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2011,1304.86198841,15.1,26.5,29,0.75,23,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2012,1271.06227681,15.4,25,30,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2013,1583.50169192,16,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2014,1733.18133655,16.3,29.5,32,0.75,26,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2015,2112.97412563,17,32.4,35,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2016,3209.66674836,17.5,32.4,35,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2017,4309.695952319999,17.7,32.6,35,1.8,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2018,4340.279752840001,18.4,33.8,36,1.8,31,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2019,4562.35795213,19.2,35,37,1.8,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2020,4744.18,20,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2021,5166.428,20.9,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2022,5626.229,21.1,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2023,6126.967,21.86075153,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2024,6672.261,22.31841513,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2025,7266.106,22.64893163,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2026,7912.779,22.90866717,39,42,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2027,8617.027,23.1230961,41,44,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2028,9383.926,23.3059583,41,44,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2029,10219.116,23.46552924,41,44,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2030,11128.613,23.6071874,41,44,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2031,12119.044,23.73462942,41,44,1.8,35,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2032,13197.647,23.85050733,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2033,14372.224,23.9567895,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2034,15651.376,24.05497781,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2035,17044.315,24.14624472,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2036,18561.287,24.23152341,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2037,20213.243,24.31156892,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2038,22012.215,24.38700095,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2039,23971.269,24.4583345,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2040,26104.74,24.52600228,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2041,28428.044,24.5903714,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2042,30958.148,24.65175604,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2043,33713.429,24.71042724,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2044,36713.909,24.7666204,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2045,39981.443,24.82054137,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2046,43539.813,24.87237115,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2047,47414.869,24.92226981,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2048,51634.764,24.97037955,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2049,56230.283,25.01682731,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2050,61234.749,25.06172689,41,44,1.8,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
