year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repowering,mod_Repairing
year,MW,%,years,years,%,years,%,%,%,%,%
1995,66.8,12.5,15,20,0.55,10,95,15,40,0,0
1996,76.5,12.7,15,20,0.55,10,95,15,40,0,0
1997,88.2,12.88,16,21,0.55,15,95,15,40,0,0
1998,100.1,13.06,16,21,0.55,15,95,15,40,0,0
1999,117.3,13.24,17,22,0.55,15,95,15,40,0,0
2000,138.8,13.42,17,22,0.6,25,95,15,40,0,0
2001,167.8,13.6,18,23,0.6,25,95,15,40,0,0
2002,212.2,13.72222222,18,23,0.6,25,95,15,40,0,0
2003,275.2,13.84444444,18,23,0.6,25,96,15,40,0,0
2004,376,13.96666667,19,24,0.6,25,96,15,40,0,0
2005,479,14.08888889,19,24,0.6,25,96,15,40,0,0
2006,483,14.21111111,20,25,0.6,25,96,15,40,0,0
2007,830.5,14.33333333,20,25,0.6,25,96,15,40,0,0
2008,1168.5,14.45555556,21,26,0.6,25,96,15,40,0,0
2009,435,14.57777778,21,26,0.6,25,96,15,40,0,0
2010,848.5879606,14.7,22,27,0.3,25,97,15,40,0,0
2011,1920.510204,15.1,22,27,0.3,25,97,15,40,0,0
2012,3373.426607,15.4,22,27,0.3,25,97,15,40,0,0
2013,4765.80203,16,25,30,0.3,25,97,15,40,0,0
2014,6243.873304,16.3,25,30,0.3,25,97,15,40,0,0
2015,7500.641887,17,25,30,0.3,25,97,15,40,0,0
2016,15095.64001,17.5,25,30,0.3,25,97,15,40,0,0
2017,10969.09466,17.7,25,30,0.3,25,97,15,40,0,0
2018,10740.37601,18.4,25,30,0.3,25,97,15,40,0,0
2019,13385.89533,19.2,25,30,0.3,25,97,15,40,0,0
2020,14903.79,20.25258849,30,35,0.5,35,97,15,40,0,0
2021,16455.56,20.8948648,30,35,0.5,35,97,15,40,0,0
2022,15227.23,21.36288232,30,35,0.5,35,97,15,40,0,0
2023,15224.02,21.73311205,30,35,0.5,35,97,15,40,0,0
2024,16634.43,22.0403697,30,35,0.5,35,97,15,40,0,0
2025,18114.89427,22.30353889,30,35,0.5,35,97,15,40,0,0
2026,19727.11986,22.53404502,30,35,0.5,35,97,15,40,0,0
2027,21482.83353,22.73934244,30,35,0.5,35,97,15,40,0,0
2028,23394.80571,22.92457161,30,35,0.5,35,97,15,40,0,0
2029,25476.94342,23.09343124,30,35,0.5,35,97,15,40,0,0
2030,27744.39138,23.24867384,30,35,0.5,35,97,15,40,0,0
2031,30213.64222,23.39240459,30,35,0.5,35,97,15,40,0,0
2032,32902.65637,23.52627057,30,35,0.5,35,98,15,40,0,0
2033,35830.99279,23.6515853,30,35,0.5,35,98,15,40,0,0
2034,39019.95115,23.76941358,30,35,0.5,35,98,15,40,0,0
2035,42492.7268,23.88063087,30,35,0.5,35,98,15,40,0,0
2036,46274.57949,23.98596588,30,35,0.5,35,98,15,40,0,0
2037,50393.01706,24.08603183,30,35,0.5,35,98,15,40,0,0
2038,54877.99558,24.18134974,30,35,0.5,35,98,15,40,0,0
2039,59762.13719,24.27236612,30,35,0.5,35,98,15,40,0,0
2040,65080.9674,24.35946665,30,35,0.5,35,98,15,40,0,0
2041,70873.1735,24.44298673,30,35,0.5,35,98,15,40,0,0
2042,77180.88594,24.52322,30,35,0.5,35,98,15,40,0,0
2043,84049.98479,24.60042496,30,35,0.5,35,98,15,40,0,0
2044,91530.43343,24.67483041,30,35,0.5,35,98,15,40,0,0
2045,99676.64201,24.74663989,30,35,0.5,35,98,15,40,0,0
2046,108547.8631,24.81603524,30,35,0.5,35,98,15,40,0,0
2047,118208.623,24.88317962,30,35,0.5,35,98,15,40,0,0
2048,128729.1904,24.94822001,30,35,0.5,35,98,15,40,0,0
2049,140186.0884,25.01128927,30,35,0.5,35,98,15,40,0,0
2050,152662.6502,25.07250791,30,35,0.5,35,98,15,40,0,0
