year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
1995,4,15.39,30.23,7.2,1.3,0.09,0,0,7.2,1.3,30
1996,4,15.3,30.54,7.2,1.3,0.09,0,0,7.2,1.3,30
1997,4,15.16,30.83,7.2,1.3,0.09,0,0,7.2,1.3,30
1998,4,15.11,31.5,7.2,1.3,0.09,0,0,7.2,1.3,30
1999,4,14.98,31.95,7.2,1.3,0.09,0,0,7.2,1.3,30
2000,4,15.16,33.33,7.2,1.3,0.09,0,0,7.2,1.3,30
2001,4,14.88,33.48,7.2,1.3,0.09,0,0,7.2,1.3,30
2002,4,14.8,34.18,7.2,1.3,0.09,0,0,7.2,1.3,30
2003,4,14.83,34.82,7.2,1.3,0.09,0,0,7.2,1.3,30
2004,4,15,35.82,7.2,1.3,0.09,0,0,7.2,1.3,30
2005,4,15.08,36.6,7.2,1.3,0.09,0,0,7.2,1.3,30
2006,4,15.06,37.14,7.2,1.3,0.09,0,0,7.2,1.3,30
2007,4,15.06,37.73,7.2,1.3,0.09,0,0,7.2,1.3,30
2008,4,15.04,36.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2009,4,14.93,35.89,7.2,1.3,0.09,0,0,7.2,1.3,30
2010,4,14.9,35.94,7.2,1.3,0.09,0,0,7.2,1.3,30
2011,4,14.78,35.78,7.2,1.3,0.09,0,0,7.2,1.3,30
2012,4,14.81,35.96,7.2,1.3,0.09,0,0,7.2,1.3,30
2013,4,14.84,36.13,7.2,1.3,0.09,0,0,7.2,1.3,30
2014,4,14.76,36.06,7.2,1.3,0.09,0,0,7.2,1.3,30
2015,4,14.8,36.26,7.2,1.3,0.09,0,0,7.2,1.3,30
2016,4,14.89,36.59,7.2,1.3,0.09,0,0,7.2,1.3,30
2017,4,14.88,36.66,7.2,1.3,0.09,0,0,7.2,1.3,30
2018,4,14.86,36.73,7.2,1.3,0.09,0,0,7.2,1.3,30
2019,4,14.76,36.62,7.2,1.3,0.09,0,0,7.2,1.3,30
2020,4,14.75,36.71,7.2,1.3,0.09,0,0,7.2,1.3,30
2021,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2022,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2023,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2024,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2025,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2026,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2027,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2028,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2029,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2030,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2031,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2032,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2033,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2034,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2035,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2036,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2037,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2038,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2039,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2040,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2041,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2042,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2043,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2044,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2045,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2046,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2047,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2048,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2049,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2050,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2051,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2052,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2053,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2054,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2055,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2056,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2057,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2058,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2059,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2060,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2061,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2062,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2063,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2064,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2065,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2066,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2067,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2068,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2069,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2070,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2071,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2072,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2073,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2074,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2075,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2076,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2077,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2078,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2079,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2080,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2081,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2082,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2083,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2084,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2085,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2086,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2087,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2088,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2089,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2090,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2091,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2092,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2093,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2094,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2095,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2096,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2097,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2098,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2099,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
2100,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
