year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,60,8000,95,80,50,20,10,0,50,90,40,15,8
1996,60,8000,95,80,50,20,10,0,50,90,40,15,8
1997,60,8000,95,80,50,20,10,0,50,90,40,15,8
1998,60,8000,95,80,50,20,10,0,50,90,40,15,8
1999,60,8000,95,80,50,20,10,0,50,90,40,15,8
2000,60,8000,95,80,50,20,10,0,50,90,40,15,8
2001,60,8000,95,80,50,20,10,0,50,90,40,15,8
2002,60,8000,95,80,50,20,10,0,50,90,40,15,8
2003,60,8000,95,80,50,20,10,0,50,90,40,15,8
2004,60,8000,95,80,50,20,10,0,50,90,40,15,8
2005,60,8000,95,80,50,20,10,0,50,90,40,15,8
2006,60,8000,95,80,50,20,10,0,50,90,40,15,8
2007,60,8000,95,80,50,20,10,0,50,90,40,15,8
2008,60,8000,95,80,50,20,10,0,50,90,40,15,8
2009,60,8000,95,80,50,20,10,0,50,90,40,15,8
2010,60,8000,95,80,50,20,10,0,50,90,40,15,8
2011,60,8000,95,80,50,20,10,0,50,90,40,15,8
2012,60,8080,95,80,50,20,10,0,50,90,40,15,8
2013,60,8160,95,80,50,20,10,0,50,90,40,15,8
2014,60,8292.7,95.2,80,50,20,10,0,50,90,40,15,8
2015,60,8225.6625,95.5,80,50,20,10,0,50,90,40,15,8
2016,60,8158.8875,95.7,80,50,20,10,0,50,90,40,15,8
2017,60,8289.75,95.9,80,50,20,10,0,50,90,40,15,8
2018,60,8350.15,96.2,80,50,20,10,0,50,90,40,15,8
2019,60,8607.5,96.4,80,50,20,10,0,50,90,40,15,8
2020,60,8975.5,96.6,80,50,20,10,0,50,90,40,15,8
2021,60,9284.5875,96.9,80,50,20,10,0,50,90,40,15,8
2022,60,9626.5,97.1,80,50,20,10,0,50,90,40,15,8
2023,60,9805.45,97.4,80,50,20,10,0,50,90,40,15,8
2024,60,9977.4,97.6,80,50,20,10,0,50,100,60,15,8
2025,60,9940.2375,97.8,80,50,20,10,0,50,100,60,15,8
2026,60,9901.5,98.1,80,50,20,10,0,50,100,60,15,8
2027,60,10008.40556,98.3,80,50,20,10,0,50,100,60,15,8
2028,60,10113.40556,98.5,80,50,20,10,0,50,100,60,15,8
2029,60,10216.5,98.8,80,50,20,10,0,50,100,60,15,8
2030,60,10170.91111,99,80,50,20,10,0,50,100,60,15,8
2031,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2032,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2033,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2034,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2035,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2036,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2037,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2038,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2039,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2040,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2041,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2042,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2043,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2044,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2045,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2046,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2047,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2048,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2049,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
2050,60,10125.01111,99,80,50,20,10,0,50,100,60,15,8
