year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
1995,0.02,260,25,8,1,0.09,0,0,8,1,0
1996,0.02,260,25,8,1,0.09,0,0,8,1,0
1997,0.02,260,25,8,1,0.09,0,0,8,1,0
1998,0.02,260,25,8,1,0.09,0,0,8,1,0
1999,0.02,260,25,8,1,0.09,0,0,8,1,0
2000,0.02,260,25,8,1,0.09,0,0,8,1,0
2001,0.02,260,25,8,1,0.09,0,0,8,1,0
2002,0.02,260,25,8,1,0.09,0,0,8,1,0
2003,0.02,260,25,8,1,0.09,0,0,8,1,0
2004,0.02,260,25,8,1,0.09,0,0,8,1,0
2005,0.02,260,25,8,1,0.09,0,0,8,1,0
2006,0.02,260,25,8,1,0.09,0,0,8,1,0
2007,0.02,260,25,8,1,0.09,0,0,8,1,0
2008,0.02,260,25,8,1,0.09,0,0,8,1,0
2009,0.02,260,25,8,1,0.09,0,0,8,1,0
2010,0.02,260,25,8,1,0.09,0,0,8,1,0
2011,0.02,260,25,8,1,0.09,0,0,8,1,0
2012,0.02,260,25,8,1,0.09,0,0,8,1,0
2013,0.02,260,25,8,1,0.09,0,0,8,1,0
2014,0.02,260,25,8,1,0.09,0,0,8,1,0
2015,0.02,260,25,8,1,0.09,0,0,8,1,0
2016,0.02,260,25,8,1,0.09,0,0,8,1,0
2017,0.02,260,25,8,1,0.09,0,0,8,1,0
2018,0.02,260,25,8,1,0.09,0,0,8,1,0
2019,0.02,260,25,8,1,0.09,0,0,8,1,0
2020,0.02,260,25,8,1,0.09,0,0,8,1,0
2021,0.02,260,25,8,1,0.09,0,0,8,1,0
2022,0.02,260,25,8,1,0.09,0,0,8,1,0
2023,0.02,260,25,8,1,0.09,0,0,8,1,0
2024,0.02,260,25,8,1,0.09,0,0,8,1,0
