year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2010,100,12.32741617,80,0,0,0,0,0,0,0,0
2011,100,10.27284681,80,0,0,0,0,0,0,0,0
2012,100,8.218277449,80,0,0,0,0,0,0,0,0
2013,100,5.752794214,80,0,0,0,0,0,0,0,0
2014,100,5.341880342,80,0,0,0,0,0,0,0,0
2015,100,4.520052597,80,0,0,0,0,0,0,0,0
2016,100,4.099757009,80,0,0,0,0,0,0,0,0
2017,100,4.079110301,80,0,0,0,0,0,0,0,0
2018,100,4.312833823,80,0,0,0,0,0,0,0,0
2019,100,4.14730981,80,0,0,0,0,0,0,0,0
2020,100,3.594965445,80,0,0,0,0,0,0,0,0
2021,100,3.341278869,80,0,0,0,0,0,0,0,0
2022,100,3.093634022,80,0,0,0,0,0,0,0,0
2023,100,2.898863882,80,0,0,0,0,0,0,0,0
2024,100,2.692895407,80,0,0,0,0,0,0,0,0
2025,100,2.542951049,80,0,0,0,0,0,0,0,0
2026,100,2.401262207,80,0,0,0,0,0,0,0,0
2027,100,2.266884489,80,0,0,0,0,0,0,0,0
2028,100,2.129634828,80,0,0,0,0,0,0,0,0
2029,100,1.992776413,80,0,0,0,0,0,0,0,0
2030,100,1.856311209,80,0,0,0,0,0,0,0,0
2031,100,1.856311209,80,0,0,0,0,0,0,0,0
2032,100,1.856311209,80,0,0,0,0,0,0,0,0
2033,100,1.856311209,80,0,0,0,0,0,0,0,0
2034,100,1.856311209,80,0,0,0,0,0,0,0,0
2035,100,1.856311209,80,0,0,0,0,0,0,0,0
2036,100,1.856311209,80,0,0,0,0,0,0,0,0
2037,100,1.856311209,80,0,0,0,0,0,0,0,0
2038,100,1.856311209,80,0,0,0,0,0,0,0,0
2039,100,1.856311209,80,0,0,0,0,0,0,0,0
2040,100,1.856311209,80,0,0,0,0,0,0,0,0
2041,100,1.856311209,80,0,0,0,0,0,0,0,0
2042,100,1.856311209,80,0,0,0,0,0,0,0,0
2043,100,1.856311209,80,0,0,0,0,0,0,0,0
2044,100,1.856311209,80,0,0,0,0,0,0,0,0
2045,100,1.856311209,80,0,0,0,0,0,0,0,0
2046,100,1.856311209,80,0,0,0,0,0,0,0,0
2047,100,1.856311209,80,0,0,0,0,0,0,0,0
2048,100,1.856311209,80,0,0,0,0,0,0,0,0
2049,100,1.856311209,80,0,0,0,0,0,0,0,0
2050,100,1.856311209,80,0,0,0,0,0,0,0,0
