Year,North American Silver Mine Production,Global Silver Mine Production,Global Silver Supply,Global Silver Supply,United States Copper Mine Production,United States Copper Refined Production,Global Copper Mine Production,Global Copper Mine Production,Global Copper Supply
year,million oz,million oz,million oz,tons,thousand short tons,thousand short tons,million tonnes,million metric tons,
2009,,,,28495,1302,1275,15.95,,
2010,201.1,,,33431,1224,1210,15.99,17,
2011,206.7,760.1,1009.7,32465,1227,1135,15.96,,
2012,227.8,792.7,1012.4,31284,1290,1104,16.69,17.7,
2013,240.7,840.3,1034.7,30719,1376,1146,18.19,18.3,
2014,238.5,877.5,1064.2,32721,1490,1208,18.43,18.8,
2015,239,892.9,1062.6,32713,1551,1255,19.13,19.6,
2016,222.8,892.3,1057.8,31907,1576,1352,20.22,20.6,
2017,232.8,863.4,1032.2,32116,1388,1191,,21.2,
2018,236.1,847.8,1016.8,31237,1347,1225,,21.8,
2019,235.3,836.5,1023.1,,,,,22.5,
2020,225.6,797.8,978.1,,,,,23.3,
2021,,,,,,,,23.8,
2022,,,,,,,,24.4,
2023,,,,,,,,24.9,
2024,,,,,,,,25.4,
2025,,,,,,,,25.9,
2026,,,,,,,,26.3,
2027,,,,,,,,26.5,
2028,,,,,,,,27,
2029,,,,,,,,27,
2030,,,,,,,,,
2031,,,,,,,,27.4,
2032,,,,,,,,27.4,
2033,,,,,,,,27.3,
2034,,,,,,,,26.9,
2035,,,,,,,,,
2036,,,,,,,,26.7,
2037,,,,,,,,,
2038,,,,,,,,26,
2039,,,,,,,,25.6,
2040,,,,,,,,,
2041,,,,,,,,25.2,
2042,,,,,,,,,
2043,,,,,,,,24.7,
2044,,,,,,,,,
2045,,,,,,,,24.5,
2046,,,,,,,,24.3,
2047,,,,,,,,23.9,
2048,,,,,,,,23.6,
2049,,,,,,,,23.2,
2050,,,,,,,,22.7,
