Start Date,End Date,Africa,,North America,,South America,,Asia (ex China),,West Europe,,East & Central Europe,,Oceania,,GCC,,China (Estimated),,ROW Estimated Unreported,,Total,Daily Average
1-Jan-1995,1-Feb-1995,48,,471,,175,,141,,493,,ND,,131,,ND,,ND,,189,,1648,53.2
1-Feb-1995,1-Mar-1995,44,,425,,153,,129,,454,,ND,,119,,ND,,ND,,189,,1513,54.0
1-Mar-1995,1-Apr-1995,48,,471,,169,,141,,497,,ND,,133,,ND,,ND,,189,,1648,53.2
1-Apr-1995,1-May-1995,48,,456,,166,,136,,476,,ND,,128,,ND,,ND,,189,,1599,53.3
1-May-1995,1-Jun-1995,49,,476,,173,,141,,490,,ND,,132,,ND,,ND,,189,,1650,53.2
1-Jun-1995,1-Jul-1995,47,,462,,168,,137,,481,,ND,,129,,ND,,ND,,189,,1613,53.8
1-Jul-1995,1-Aug-1995,50,,478,,176,,140,,503,,ND,,133,,ND,,ND,,189,,1669,53.8
1-Aug-1995,1-Sep-1995,53,,476,,177,,140,,500,,ND,,134,,ND,,ND,,189,,1669,53.8
1-Sep-1995,1-Oct-1995,54,,465,,172,,135,,490,,ND,,130,,ND,,ND,,189,,1635,54.5
1-Oct-1995,1-Nov-1995,60,,448,,178,,140,,506,,ND,,134,,ND,,ND,,189,,1655,53.4
1-Nov-1995,1-Dec-1995,62,,439,,172,,136,,490,,ND,,129,,ND,,ND,,189,,1617,53.9
1-Dec-1995,1-Jan-1996,68,,479,,179,,140,,505,,ND,,134,,ND,,ND,,189,,1694,54.6
1-Jan-1996,1-Feb-1996,70,,491,,178,,141,,271,,267,,134,,ND,,ND,,185,,1737,56.0
1-Feb-1996,1-Mar-1996,69,,464,,167,,132,,253,,252,,128,,ND,,ND,,185,,1650,56.9
1-Mar-1996,1-Apr-1996,76,,496,,179,,138,,270,,273,,138,,ND,,ND,,185,,1755,56.6
1-Apr-1996,1-May-1996,79,,480,,174,,126,,261,,264,,134,,ND,,ND,,185,,1703,56.8
1-May-1996,1-Jun-1996,86,,498,,177,,134,,269,,271,,139,,ND,,ND,,185,,1759,56.7
1-Jun-1996,1-Jul-1996,87,,480,,172,,130,,261,,259,,134,,ND,,ND,,185,,1708,56.9
1-Jul-1996,1-Aug-1996,91,,494,,179,,133,,271,,268,,140,,ND,,ND,,185,,1761,56.8
1-Aug-1996,1-Sep-1996,92,,496,,178,,135,,269,,268,,142,,ND,,ND,,185,,1765,56.9
1-Sep-1996,1-Oct-1996,89,,479,,172,,130,,261,,261,,139,,ND,,ND,,185,,1716,57.2
1-Oct-1996,1-Nov-1996,93,,498,,179,,138,,270,,270,,143,,ND,,ND,,185,,1776,57.3
1-Nov-1996,1-Dec-1996,90,,483,,173,,139,,263,,263,,140,,ND,,ND,,185,,1736,57.9
1-Dec-1996,1-Jan-1997,93,,501,,179,,148,,273,,269,,145,,ND,,ND,,185,,1793,57.8
1-Jan-1997,1-Feb-1997,93,,501,,178,,164,,273,,278,,143,,ND,,ND,,194,,1824,58.8
1-Feb-1997,1-Mar-1997,84,,455,,163,,144,,247,,251,,129,,ND,,ND,,194,,1667,59.5
1-Mar-1997,1-Apr-1997,94,,504,,180,,162,,274,,279,,143,,ND,,ND,,194,,1830,59.0
1-Apr-1997,1-May-1997,91,,485,,175,,156,,266,,272,,139,,ND,,ND,,194,,1778,59.3
1-May-1997,1-Jun-1997,93,,502,,180,,162,,277,,282,,146,,ND,,ND,,194,,1836,59.2
1-Jun-1997,1-Jul-1997,90,,487,,175,,154,,269,,271,,145,,ND,,ND,,194,,1785,59.5
1-Jul-1997,1-Aug-1997,94,,502,,180,,161,,279,,281,,156,,ND,,ND,,194,,1847,59.6
1-Aug-1997,1-Sep-1997,94,,501,,180,,162,,280,,279,,158,,ND,,ND,,194,,1848,59.6
1-Sep-1997,1-Oct-1997,90,,485,,174,,158,,274,,273,,156,,ND,,ND,,194,,1804,60.1
1-Oct-1997,1-Nov-1997,94,,506,,179,,163,,287,,286,,164,,ND,,ND,,194,,1873,60.4
1-Nov-1997,1-Dec-1997,93,,491,,173,,160,,280,,278,,160,,ND,,ND,,194,,1829,61.0
1-Dec-1997,1-Jan-1998,96,,511,,179,,164,,291,,286,,165,,ND,,ND,,194,,1886,60.8
1-Jan-1998,1-Feb-1998,94,,508,,177,,166,,294,,288,,163,,ND,,ND,,231,,1921,62.0
1-Feb-1998,1-Mar-1998,87,,459,,161,,150,,267,,260,,145,,ND,,ND,,231,,1760,62.9
1-Mar-1998,1-Apr-1998,90,,514,,177,,164,,296,,288,,159,,ND,,ND,,231,,1919,61.9
1-Apr-1998,1-May-1998,83,,500,,172,,155,,288,,279,,156,,ND,,ND,,231,,1864,62.1
1-May-1998,1-Jun-1998,83,,517,,174,,154,,300,,289,,163,,ND,,ND,,231,,1911,61.6
1-Jun-1998,1-Jul-1998,80,,502,,170,,145,,291,,283,,159,,ND,,ND,,231,,1861,62.0
1-Jul-1998,1-Aug-1998,86,,520,,176,,148,,303,,291,,165,,ND,,ND,,231,,1920,61.9
1-Aug-1998,1-Sep-1998,89,,520,,175,,150,,303,,292,,166,,ND,,ND,,231,,1926,62.1
1-Sep-1998,1-Oct-1998,86,,505,,170,,148,,293,,279,,158,,ND,,ND,,231,,1870,62.3
1-Oct-1998,1-Nov-1998,89,,517,,176,,152,,305,,293,,167,,ND,,ND,,231,,1930,62.3
1-Nov-1998,1-Dec-1998,86,,504,,171,,152,,298,,282,,163,,ND,,ND,,231,,1887,62.9
1-Dec-1998,1-Jan-1999,90,,520,,176,,159,,311,,295,,170,,ND,,ND,,231,,1952,63.0
1-Jan-1999,1-Feb-1999,90,,520,,175,,161,,312,,300,,170,,ND,,194,,39,,1961,63.3
1-Feb-1999,1-Mar-1999,81,,471,,158,,145,,282,,272,,154,,ND,,197,,39,,1799,64.3
1-Mar-1999,1-Apr-1999,90,,524,,174,,159,,315,,303,,172,,ND,,200,,39,,1976,63.7
1-Apr-1999,1-May-1999,90,,506,,168,,153,,305,,294,,167,,ND,,210,,39,,1932,64.4
1-May-1999,1-Jun-1999,93,,522,,175,,160,,317,,303,,172,,ND,,213,,39,,1994,64.3
1-Jun-1999,1-Jul-1999,90,,506,,171,,156,,307,,294,,165,,ND,,226,,39,,1954,65.1
1-Jul-1999,1-Aug-1999,93,,522,,177,,164,,315,,303,,173,,ND,,215,,39,,2001,64.5
1-Aug-1999,1-Sep-1999,94,,526,,179,,169,,316,,307,,172,,ND,,224,,39,,2026,65.4
1-Sep-1999,1-Oct-1999,92,,504,,176,,169,,306,,295,,168,,ND,,224,,39,,1973,65.8
1-Oct-1999,1-Nov-1999,95,,525,,183,,177,,318,,306,,173,,ND,,221,,39,,2037,65.7
1-Nov-1999,1-Dec-1999,92,,512,,176,,173,,309,,296,,168,,ND,,239,,39,,2004,66.8
1-Dec-1999,1-Jan-2000,95,,531,,181,,180,,318,,311,,174,,ND,,235,,39,,2064,66.6
1-Jan-2000,1-Feb-2000,97,,532,,179,,183,,322,,309,,174,,ND,,212,,56,,2064,66.6
1-Feb-2000,1-Mar-2000,87,,497,,171,,173,,299,,290,,164,,ND,,208,,56,,1945,67.1
1-Mar-2000,1-Apr-2000,93,,529,,183,,186,,319,,310,,175,,ND,,209,,56,,2060,66.5
1-Apr-2000,1-May-2000,90,,510,,178,,179,,307,,302,,170,,ND,,209,,56,,2001,66.7
1-May-2000,1-Jun-2000,94,,528,,184,,187,,319,,312,,176,,ND,,211,,56,,2067,66.7
1-Jun-2000,1-Jul-2000,93,,492,,179,,182,,309,,302,,172,,ND,,242,,56,,2027,67.6
1-Jul-2000,1-Aug-2000,97,,496,,184,,188,,321,,314,,179,,ND,,228,,56,,2063,66.5
1-Aug-2000,1-Sep-2000,100,,495,,185,,188,,323,,313,,178,,ND,,239,,56,,2077,67.0
1-Sep-2000,1-Oct-2000,99,,484,,178,,183,,313,,302,,173,,ND,,249,,56,,2037,67.9
1-Oct-2000,1-Nov-2000,108,,500,,184,,191,,326,,313,,180,,ND,,248,,56,,2106,67.9
1-Nov-2000,1-Dec-2000,105,,484,,178,,186,,316,,306,,174,,ND,,256,,56,,2061,68.7
1-Dec-2000,1-Jan-2001,115,,494,,184,,195,,327,,316,,179,,ND,,283,,56,,2149,69.3
1-Jan-2001,1-Feb-2001,118,,463,,184,,191,,331,,314,,179,,ND,,246,,49,,2075,66.9
1-Feb-2001,1-Mar-2001,106,,410,,167,,175,,294,,286,,163,,ND,,271,,49,,1921,68.6
1-Mar-2001,1-Apr-2001,116,,446,,185,,186,,328,,315,,180,,ND,,271,,49,,2076,67.0
1-Apr-2001,1-May-2001,113,,434,,178,,178,,319,,303,,175,,ND,,271,,49,,2020,67.3
1-May-2001,1-Jun-2001,114,,450,,183,,186,,330,,315,,181,,ND,,280,,49,,2088,67.4
1-Jun-2001,1-Jul-2001,113,,426,,162,,183,,319,,306,,175,,ND,,277,,49,,2010,67.0
1-Jul-2001,1-Aug-2001,120,,433,,155,,190,,332,,318,,181,,ND,,274,,49,,2052,66.2
1-Aug-2001,1-Sep-2001,119,,433,,151,,192,,331,,318,,180,,ND,,283,,49,,2056,66.3
1-Sep-2001,1-Oct-2001,110,,421,,150,,186,,318,,307,,173,,ND,,279,,49,,1993,66.4
1-Oct-2001,1-Nov-2001,110,,440,,158,,192,,331,,317,,179,,ND,,291,,49,,2067,66.7
1-Nov-2001,1-Dec-2001,113,,429,,155,,185,,321,,309,,175,,ND,,300,,49,,2036,67.9
1-Dec-2001,1-Jan-2002,117,,437,,163,,190,,331,,320,,181,,ND,,328,,49,,2116,68.3
1-Jan-2002,1-Feb-2002,117,,437,,174,,192,,335,,319,,179,,ND,,315,,53,,2121,68.4
1-Feb-2002,1-Mar-2002,107,,403,,169,,176,,301,,290,,163,,ND,,311,,53,,1973,70.5
1-Mar-2002,1-Apr-2002,112,,451,,190,,194,,334,,323,,183,,ND,,318,,53,,2158,69.6
1-Apr-2002,1-May-2002,108,,437,,185,,186,,323,,310,,177,,ND,,332,,53,,2111,70.4
1-May-2002,1-Jun-2002,113,,456,,191,,192,,333,,325,,184,,ND,,350,,53,,2197,70.9
1-Jun-2002,1-Jul-2002,112,,447,,185,,182,,322,,315,,178,,ND,,358,,53,,2152,71.7
1-Jul-2002,1-Aug-2002,118,,465,,190,,191,,331,,325,,184,,ND,,360,,53,,2217,71.5
1-Aug-2002,1-Sep-2002,117,,466,,191,,190,,332,,325,,186,,ND,,366,,53,,2226,71.8
1-Sep-2002,1-Oct-2002,116,,451,,184,,183,,322,,317,,181,,ND,,385,,53,,2192,73.1
1-Oct-2002,1-Nov-2002,119,,467,,190,,191,,334,,327,,187,,ND,,405,,53,,2273,73.3
1-Nov-2002,1-Dec-2002,115,,458,,187,,187,,325,,319,,180,,ND,,413,,53,,2237,74.6
1-Dec-2002,1-Jan-2003,118,,475,,194,,197,,336,,330,,188,,ND,,408,,53,,2299,74.2
1-Jan-2003,1-Feb-2003,110,,476,,194,,201,,337,,333,,187,,ND,,414,,42,,2294,74.0
1-Feb-2003,1-Mar-2003,99,,432,,177,,184,,306,,302,,169,,ND,,400,,42,,2111,75.4
1-Mar-2003,1-Apr-2003,109,,475,,197,,206,,340,,335,,186,,ND,,424,,42,,2314,74.6
1-Apr-2003,1-May-2003,107,,455,,192,,202,,328,,324,,180,,ND,,437,,42,,2267,75.6
1-May-2003,1-Jun-2003,111,,467,,198,,209,,343,,337,,184,,ND,,442,,42,,2333,75.3
1-Jun-2003,1-Jul-2003,112,,450,,191,,202,,334,,327,,178,,ND,,452,,42,,2288,76.3
1-Jul-2003,1-Aug-2003,117,,463,,194,,203,,343,,338,,184,,ND,,464,,42,,2348,75.7
1-Aug-2003,1-Sep-2003,127,,463,,184,,210,,347,,340,,186,,ND,,480,,42,,2379,76.7
1-Sep-2003,1-Oct-2003,129,,446,,178,,205,,338,,333,,184,,ND,,502,,42,,2357,78.6
1-Oct-2003,1-Nov-2003,134,,462,,186,,217,,353,,345,,187,,ND,,504,,42,,2430,78.4
1-Nov-2003,1-Dec-2003,133,,446,,187,,213,,343,,335,,184,,ND,,514,,42,,2397,79.9
1-Dec-2003,1-Jan-2004,140,,460,,197,,223,,356,,347,,189,,ND,,514,,42,,2468,79.6
1-Jan-2004,1-Feb-2004,143,,453,,195,,229,,356,,351,,188,,ND,,500,,48,,2463,79.5
1-Feb-2004,1-Mar-2004,134,,424,,185,,212,,334,,328,,178,,ND,,498,,48,,2341,80.7
1-Mar-2004,1-Apr-2004,140,,450,,199,,228,,358,,351,,189,,ND,,518,,48,,2481,80.0
1-Apr-2004,1-May-2004,139,,432,,193,,219,,347,,341,,184,,ND,,526,,48,,2429,81.0
1-May-2004,1-Jun-2004,143,,446,,200,,228,,359,,354,,191,,ND,,551,,48,,2520,81.3
1-Jun-2004,1-Jul-2004,138,,425,,191,,221,,350,,340,,184,,ND,,554,,48,,2451,81.7
1-Jul-2004,1-Aug-2004,145,,420,,200,,231,,365,,348,,191,,ND,,562,,48,,2510,81.0
1-Aug-2004,1-Sep-2004,146,,415,,200,,231,,367,,349,,190,,ND,,580,,48,,2526,81.5
1-Sep-2004,1-Oct-2004,143,,402,,195,,229,,358,,339,,185,,ND,,575,,48,,2474,82.5
1-Oct-2004,1-Nov-2004,148,,418,,201,,238,,371,,349,,190,,ND,,591,,48,,2554,82.4
1-Nov-2004,1-Dec-2004,143,,407,,195,,231,,359,,339,,184,,ND,,611,,48,,2517,83.9
1-Dec-2004,1-Jan-2005,149,,418,,202,,238,,371,,350,,192,,ND,,623,,48,,2591,83.6
1-Jan-2005,1-Feb-2005,146,,419,,198,,242,,373,,354,,188,,ND,,585,,53,,2558,82.5
1-Feb-2005,1-Mar-2005,132,,391,,181,,214,,338,,321,,170,,ND,,571,,53,,2371,84.7
1-Mar-2005,1-Apr-2005,150,,445,,202,,243,,374,,357,,190,,ND,,600,,53,,2614,84.3
1-Apr-2005,1-May-2005,143,,445,,194,,243,,360,,345,,185,,ND,,624,,53,,2592,86.4
1-May-2005,1-Jun-2005,141,,463,,201,,262,,373,,355,,192,,ND,,645,,53,,2685,86.6
1-Jun-2005,1-Jul-2005,141,,453,,194,,264,,358,,346,,186,,ND,,658,,53,,2653,88.4
1-Jul-2005,1-Aug-2005,148,,468,,202,,274,,370,,357,,192,,ND,,672,,53,,2736,88.3
1-Aug-2005,1-Sep-2005,149,,467,,205,,279,,366,,356,,192,,ND,,693,,53,,2760,89.0
1-Sep-2005,1-Oct-2005,144,,447,,199,,271,,355,,343,,188,,ND,,695,,53,,2695,89.8
1-Oct-2005,1-Nov-2005,152,,464,,206,,283,,368,,356,,194,,ND,,687,,53,,2763,89.1
1-Nov-2005,1-Dec-2005,148,,454,,200,,277,,355,,346,,185,,ND,,686,,53,,2704,90.1
1-Dec-2005,1-Jan-2006,159,,466,,209,,287,,362,,358,,190,,ND,,690,,53,,2774,89.5
1-Jan-2006,1-Feb-2006,157,,456,,209,,287,,356,,361,,190,,ND,,689,,60,,2765,89.2
1-Feb-2006,1-Mar-2006,142,,413,,190,,261,,321,,325,,171,,ND,,667,,60,,2550,91.1
1-Mar-2006,1-Apr-2006,160,,456,,210,,293,,356,,361,,190,,ND,,704,,60,,2790,90.0
1-Apr-2006,1-May-2006,152,,441,,206,,285,,346,,348,,183,,ND,,724,,60,,2745,91.5
1-May-2006,1-Jun-2006,156,,455,,213,,294,,356,,357,,193,,ND,,751,,60,,2835,91.5
1-Jun-2006,1-Jul-2006,154,,439,,205,,281,,344,,346,,186,,ND,,775,,60,,2790,93.0
1-Jul-2006,1-Aug-2006,159,,450,,212,,295,,349,,359,,194,,ND,,787,,60,,2865,92.4
1-Aug-2006,1-Sep-2006,159,,442,,213,,297,,351,,358,,194,,ND,,812,,60,,2886,93.1
1-Sep-2006,1-Oct-2006,153,,432,,205,,289,,343,,346,,189,,ND,,821,,60,,2838,94.6
1-Oct-2006,1-Nov-2006,158,,451,,212,,305,,358,,359,,196,,ND,,854,,60,,2953,95.3
