year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repowering,mod_Repairing
year,MW,%,years,years,%,%,%,%,%,%
1995,66.8,9.5,15,20,0.55,95,15,40,0,0
1996,76.5,10.1,15,20,0.55,95,15,40,0,0
1997,88.2,10.7,16,21,0.55,95,15,40,0,0
1998,100.1,11.2,16,21,0.55,95,15,40,0,0
1999,117.3,11.8,17,22,0.55,95,15,40,0,0
2000,138.8,12.4,17,22,0.6,95,15,40,0,0
2001,167.8,13,18,23,0.6,95,15,40,0,0
2002,212.2,13.6,18,23,0.6,95,15,40,0,0
2003,275.2,14.1,18,23,0.6,96,15,40,0,0
2004,376,14.7,19,24,0.6,96,15,40,0,0
2005,479,15.3,19,24,0.6,96,15,40,0,0
2006,483,15.9,20,25,0.6,96,15,40,0,0
2007,830.5,16.5,20,25,0.6,96,15,40,0,0
2008,1168.5,17.45,21,26,0.6,96,15,40,0,0
2009,435,17.92,21,26,0.6,96,15,40,0,0
2010,848.5879606,18.04,22,27,0.3,97,15,40,0,0
2011,1920.510204,18.45,22,27,0.3,97,15,40,0,0
2012,3373.426607,19.2,22,27,0.3,97,15,40,0,0
2013,4765.80203,19.89,25,30,0.3,97,15,40,0,0
2014,6243.873304,20.2,25,30,0.3,97,15,40,0,0
2015,7500.641887,20.75,25,30,0.3,97,15,40,0,0
2016,15095.64001,21.2,25,30,0.3,97,15,40,0,0
2017,10969.09466,22.9,25,30,0.3,97,15,40,0,0
2018,10740.37601,23.2,25,30,0.3,97,15,40,0,0
2019,13385.89533,23.51,25,30,0.3,97,15,40,0,0
2020,14903.79,23.82,30,35,0.5,97,15,40,0,0
2021,16455.56,24.13,30,35,0.5,97,15,40,0,0
2022,15227.23,24.44,30,35,0.5,97,15,40,0,0
2023,15224.02,24.75,30,35,0.5,97,15,40,0,0
2024,16634.43,25.06,30,35,0.5,97,15,40,0,0
2025,18114.89427,25.06,30,35,0.5,97,15,40,0,0
2026,19727.11986,25.06,30,35,0.5,97,15,40,0,0
2027,21482.83353,25.06,30,35,0.5,97,15,40,0,0
2028,23394.80571,25.06,30,35,0.5,97,15,40,0,0
2029,25476.94342,25.06,30,35,0.5,97,15,40,0,0
2030,27744.39138,25.06,30,35,0.5,97,15,40,0,0
2031,30213.64222,25.06,30,35,0.5,97,15,40,0,0
2032,32902.65637,25.06,30,35,0.5,98,15,40,0,0
2033,35830.99279,25.06,30,35,0.5,98,15,40,0,0
2034,39019.95115,25.06,30,35,0.5,98,15,40,0,0
2035,42492.7268,25.06,30,35,0.5,98,15,40,0,0
2036,46274.57949,25.06,30,35,0.5,98,15,40,0,0
2037,50393.01706,25.06,30,35,0.5,98,15,40,0,0
2038,54877.99558,25.06,30,35,0.5,98,15,40,0,0
2039,59762.13719,25.06,30,35,0.5,98,15,40,0,0
2040,65080.9674,25.06,30,35,0.5,98,15,40,0,0
2041,70873.1735,25.06,30,35,0.5,98,15,40,0,0
2042,77180.88594,25.06,30,35,0.5,98,15,40,0,0
2043,84049.98479,25.06,30,35,0.5,98,15,40,0,0
2044,91530.43343,25.06,30,35,0.5,98,15,40,0,0
2045,99676.64201,25.06,30,35,0.5,98,15,40,0,0
2046,108547.8631,25.06,30,35,0.5,98,15,40,0,0
2047,118208.623,25.06,30,35,0.5,98,15,40,0,0
2048,128729.1904,25.06,30,35,0.5,98,15,40,0,0
2049,140186.0884,25.06,30,35,0.5,98,15,40,0,0
2050,152662.6502,25.06,30,35,0.5,98,15,40,0,0
