,mod_MFG,mod_Install,mod_OandM,mod_Repair,mod_Demount,mod_Store,mod_Resell_Certify,mod_ReMFG_Disassembly,mod_Recycle_Crush,e_out_annual_[Wh]
0,27904867.2,29283.8868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573810055.5600001
1,31318355.9055118,32488.294488188967,0.0,0.0,0.09805046385022471,0.0,0.0,0.0,0.41490827860831936,1216289747.5198112
2,45381763.97515527,46542.09316770185,0.0,0.0,2.1021230573200116,0.0,0.0,0.0,8.895299674133101,2146831211.4517522
3,54584122.51148546,55350.75344563553,0.0,0.0,12.644969218852795,0.0,0.0,0.0,53.508185536619195,3263659518.8779893
4,73142673.71601208,73345.84780966766,0.0,0.0,43.62839495880427,0.0,0.0,0.0,184.61699761515072,4760621721.417772
5,101758614.00894187,100919.94411326377,0.0,0.0,110.21912486193723,0.0,0.0,0.0,466.4009283631449,6845864966.5761795
6,105128188.94117644,103128.46795588233,0.0,0.0,229.59652494416113,0.0,0.0,0.0,971.5558213426609,8988787462.31209
7,132080039.5258429,128174.4469592185,0.0,0.0,419.8609168981587,0.0,0.0,0.0,1776.6746167690505,11670612938.383354
8,202454795.6057239,196424.2272259789,0.0,0.0,698.5438475669167,0.0,0.0,0.0,2955.9434391779005,15832920494.264347
9,416784771.4921158,400113.38063243113,0.0,0.0,1080.5575453664967,0.0,0.0,0.0,4572.464560392964,24454211346.414337
10,394401250.37319386,539756.8132358234,0.0,0.0,28418.858274520222,0.0,0.0,0.0,120256.64238270662,35674797446.77862
11,369274600.6441632,545243.0152767977,0.0,0.0,30772.85321583216,0.0,0.0,0.0,130217.757818574,46985422815.14201
12,505531773.3468713,810367.3142477599,0.0,0.0,42.188103928189285,0.0,0.0,0.0,178.5222924119167,64840079333.68486
13,1107623154.3778782,1941853.7423925893,0.0,0.0,124.99965467108693,0.0,0.0,0.0,528.9459071344943,108354272816.79382
14,1263678913.6643317,2444446.7672095355,0.0,0.0,335.52765589176124,0.0,0.0,0.0,1419.8117649314534,163395405805.16092
15,2512299744.603471,5476464.788285714,0.0,0.0,827.2939686730685,0.0,0.0,0.0,3500.759741121827,288351028743.02045
16,4040773416.519014,9956076.746850993,0.0,0.0,1890.3417415439249,0.0,0.0,0.0,7999.130316849032,521818318404.4657
17,3816087104.42414,9509259.780224025,0.0,0.0,46688.46168137254,0.0,0.0,0.0,197565.91153591324,746621964600.3141
18,4523868784.034225,11402475.614024999,0.0,0.0,54814.961460515464,0.0,0.0,0.0,231953.83691712868,1026007785203.1703
19,4804517848.01891,12250589.919616561,0.0,0.0,70512.52074017563,0.0,0.0,0.0,298379.29829000635,1330026920671.0393
20,5550881693.28633,14320093.730020585,0.0,0.0,43.94459715888248,0.0,0.0,0.0,185.95503218811322,1701664777569.591
21,8094720602.105919,21131119.078868564,0.0,0.0,162.0035111516205,0.0,0.0,0.0,685.5306471889626,2268581295372.0693
22,10618302785.406813,28052654.86454237,0.0,0.0,532.7157943111065,0.0,0.0,0.0,2254.2289401375238,3029909477502.6167
23,10162965152.68817,27176936.704010874,0.0,0.0,1571.995824087515,0.0,0.0,0.0,6652.024434559801,3773517911345.729
24,10113068343.933697,27377181.19546093,0.0,0.0,4241.818090490663,0.0,0.0,0.0,17949.588130286807,4534494088219.628
25,9970894824.74227,27329505.0,0.0,0.0,104011.09944323503,0.0,0.0,0.0,440131.17869663675,5303287900833.992
26,10260946954.076853,28480309.090909094,0.0,0.0,110016.18870018779,0.0,0.0,0.0,465542.18797342625,6124716591228.649
27,11068233097.180826,30721014.454976298,0.0,0.0,141405.04660602714,0.0,0.0,0.0,598366.6182697149,7003513841273.262
28,11633859117.612623,32290967.400241062,0.0,0.0,219177.721056601,0.0,0.0,0.0,927467.8301553013,7944458680540.004
29,12409463962.122412,34443738.07558977,0.0,0.0,430447.6337497321,0.0,0.0,0.0,1821473.1449199189,8951156917037.396
30,13316722676.834665,36961927.55031068,0.0,0.0,28635876.659302264,0.0,0.0,0.0,121174972.8109422,9421322284033.492
31,14337471276.194424,39795119.8223288,0.0,0.0,27791284.814926825,0.0,0.0,0.0,117601015.74316409,9988501323319.434
32,15468735616.51571,42935059.85126273,0.0,0.0,27523971.913057074,0.0,0.0,0.0,116469860.09525204,10642686764423.488
33,16713251807.83154,46389341.99071315,0.0,0.0,28319791.331405085,0.0,0.0,0.0,119837432.79184045,11373326922139.162
34,18076998519.02371,50174560.64843478,0.0,0.0,30611780.282760844,0.0,0.0,0.0,129536164.98599854,12150040723815.438
35,19567716137.826317,54312200.063273944,0.0,0.0,33392941.50024907,0.0,0.0,0.0,141304868.2431592,12990413920200.299
36,21194796650.15605,58828328.65397229,0.0,0.0,32809295.395276874,0.0,0.0,0.0,138835123.6726453,13953966863393.436
37,22734630091.10142,63752833.17715489,0.0,0.0,40231843.19340105,0.0,0.0,0.0,170244220.6710234,14902665327692.234
38,24648152151.316483,69118764.01468568,0.0,0.0,37754024.64425157,0.0,0.0,0.0,159759135.8630435,16045521117333.365
39,26732314997.784348,74963208.6233049,0.0,0.0,49881559.59251151,0.0,0.0,0.0,211077757.43357506,17107874023044.791
40,29001399763.762825,81326214.3977807,0.0,0.0,50195650.05799029,0.0,0.0,0.0,212406856.03486416,18339089146975.242
41,31471422481.738426,88252693.76656167,0.0,0.0,46751584.978281304,0.0,0.0,0.0,197833022.75020096,19835153373652.0
42,34159540202.902195,95790758.8219938,0.0,0.0,61026829.24809524,0.0,0.0,0.0,258239845.8708872,21246466687721.027
43,37084664691.46648,103993442.25227499,0.0,0.0,54538191.36067118,0.0,0.0,0.0,230782662.38936648,23028686578536.21
44,40267359403.16319,112918408.44682209,0.0,0.0,59227408.26378675,0.0,0.0,0.0,250625453.91623443,24967087702958.773
45,43730215094.06958,122629006.78487583,0.0,0.0,75435355.36042306,0.0,0.0,0.0,319210661.6304218,26842515976556.742
46,47497515873.97201,133193335.17671065,0.0,0.0,69384984.13462488,0.0,0.0,0.0,293608038.12757057,29149040946491.99
47,51596009812.31405,144686401.00983247,0.0,0.0,75428201.94848484,0.0,0.0,0.0,319180391.4030621,31657637187772.37
48,56054654274.70152,157189407.01731062,0.0,0.0,95445273.36717181,0.0,0.0,0.0,403884209.4063482,34096304887722.22
49,60904991250.865616,170790803.7787828,0.0,0.0,108541594.52633396,0.0,0.0,0.0,459302326.31143427,36636244333492.97
50,66181441214.54497,185587113.76729327,0.0,0.0,95790758.82199435,0.0,0.0,0.0,405346158.38359714,39896864582259.22
51,71921440215.95937,201683315.78631976,0.0,0.0,103993442.25227559,0.0,0.0,0.0,440056460.89910305,43447685032305.99
52,78165654258.52448,219193446.12857312,0.0,0.0,112918408.44682275,0.0,0.0,0.0,477823159.9539235,47314535490925.266
53,84958347885.94797,238241632.17414927,0.0,0.0,122629006.78487651,0.0,0.0,0.0,518914323.4475828,51525526355413.19
54,92347904331.52014,258963551.00194353,0.0,0.0,133193335.17671141,0.0,0.0,0.0,563618113.0635579,56111302534564.97
55,100386648420.71657,281505932.77014196,0.0,0.0,144686401.0098333,0.0,0.0,0.0,612251928.4837157,61105206248059.98
