,mat_extraction,mat_MFG_virgin,mat_MFG_virgin_fuel,mat_MFGScrap_LQ,mat_MFGScrap_HQ,mat_MFGScrap_HQ_fuel,mat_Landfill,mat_Landfill_fuel,mat_EoL_ReMFG_clean,mat_Recycled_LQ,mat_Recycled_HQ,mat_Recycled_HQ_fuel,mat_Recycled_HQ_elec
0,2001013.3981853242,5851163.277633707,1768806.65882867,404255.65715755656,71530.79266926764,21459.237800780294,204.19035744182648,0.0,0.0,0.0,0.0,0.0,0.0
1,2219975.5448807627,6453468.908968377,1970889.4047989422,448491.58610499284,79358.09454135569,23807.428362406707,226.63581808197856,0.0,0.0,0.0,0.0,0.0,0.0
2,3179004.645331508,9156804.980412874,2823042.9754612893,642500.2455274325,113686.84900027071,34106.054700081215,326.7107521803291,0.0,0.0,0.0,0.0,0.0,0.0
3,3782312.296800466,10858640.372884458,3420471.717458604,764101.2738900249,135203.47540776274,40561.04262232882,399.0779787523532,0.0,0.0,0.0,0.0,0.0,0.0
4,5013141.140616381,14268402.314422345,4558754.53945794,1012518.3896720753,179159.50395030886,53747.85118509266,556.7230679805939,0.0,0.0,0.0,0.0,0.0,0.0
5,6899908.6107437,19874496.762386154,6624169.770903305,1393170.8794821354,246513.84728614453,73954.15418584336,818.1304362156053,0.0,0.0,0.0,0.0,0.0,0.0
6,7046724.171437397,19922498.577487808,6670052.523742918,1423658.9176118928,251908.53625521547,75572.56087656465,957.4757316648163,0.0,0.0,0.0,0.0,0.0,0.0
7,8736683.441749718,24567553.83820021,8397189.901896833,1769411.4732852073,313087.530134077,93926.2590402231,1329.661468100808,0.0,0.0,0.0,0.0,0.0,0.0
8,13295778.814156089,37463515.96464761,13044796.258890301,2516782.69047673,445330.7149537992,133599.21448613977,1996.5077425959178,0.0,0.0,0.0,0.0,0.0,0.0
9,27103513.234411784,77245012.71807358,27669163.555613957,5126650.845597146,907132.3857348284,272139.7157204485,3711.3900423658847,0.0,0.0,0.0,0.0,0.0,0.0
10,36512366.401673965,104615232.21407624,38289174.99035191,6915901.484270337,1223730.3459667235,367119.1037900171,32999.624892526386,0.0,0.0,0.0,0.0,0.0,0.0
11,36784392.11411634,105254859.59533252,39091654.8537065,6986196.164963156,1236168.5991893138,370850.57975679415,35479.20831634762,0.0,0.0,0.0,0.0,0.0,0.0
12,54766748.69238686,156709574.70839578,59126522.537477724,10383232.548398865,1837255.3148139105,551176.5944441732,5288.3945054838805,0.0,0.0,0.0,0.0,0.0,0.0
13,131376379.64221433,375421142.4655916,135264237.63035268,24880962.777919233,4402548.13598182,1320764.440794546,12697.208208362817,0.0,0.0,0.0,0.0,0.0,0.0
14,164849858.19484934,467629592.74132913,167832260.83486304,31320684.817697905,5542021.1746871015,1662606.3524061304,16168.509423387308,0.0,0.0,0.0,0.0,0.0,0.0
15,367091975.5735517,1039237382.848725,373501915.39583176,64850790.78000645,11474987.146351142,3442496.143905343,33615.21956163325,0.0,0.0,0.0,0.0,0.0,0.0
16,666840436.9388298,1872621315.0116215,670023906.5111582,117897124.34211235,20861241.168312658,6258372.350493797,61512.75930426705,0.0,0.0,0.0,0.0,0.0,0.0
17,636832757.5737536,1791983696.5367851,644397337.2746279,112606040.63393904,19925013.30106088,5977503.990318265,105352.67304417821,0.0,0.0,0.0,0.0,0.0,0.0
18,764539870.151717,2155696617.8797812,778853188.039965,135024982.17481133,23891920.457043003,7167576.137112902,125114.01021179568,0.0,0.0,0.0,0.0,0.0,0.0
19,820138361.5294873,2299996021.0732937,829378565.1990297,145068118.67175317,25668997.664974105,7700699.299492232,146485.0912132328,0.0,0.0,0.0,0.0,0.0,0.0
20,1034054636.879937,2907761638.9063835,1054354370.2674545,182575334.38258427,32305691.11158505,9691707.333475515,92264.80026496123,0.0,0.0,0.0,0.0,0.0,0.0
21,1631121753.5875015,4614606553.074401,1688484537.7699234,288597336.06539774,51065695.29823844,15319708.589471534,145939.30646973837,0.0,0.0,0.0,0.0,0.0,0.0
22,2515198075.552079,7110967999.200838,2606880868.507027,445137050.1184716,78764528.03485179,23629358.410455536,225392.7341788085,0.0,0.0,0.0,0.0,0.0,0.0
23,2521189166.8812237,7118325493.772447,2614560953.8626194,446259583.03206295,78963153.99761781,23688946.199285347,227038.7789616938,0.0,0.0,0.0,0.0,0.0,0.0
24,2814500010.3046126,7892983828.898256,2890410678.1425414,498176661.05394787,88149592.52537912,26444877.757613737,256034.19184159045,0.0,0.0,0.0,0.0,0.0,0.0
25,2797409530.085534,7839740208.064709,2877968630.3805547,495151584.3653083,87614322.01130593,26284296.60339178,358093.46390594024,0.0,0.0,0.0,0.0,0.0,0.0
26,2931082229.9516716,8264479455.571733,3060336742.398213,518812134.7471044,91800924.95386264,27540277.486158792,376279.34774085623,0.0,0.0,0.0,0.0,0.0,0.0
27,3178814109.9316325,8962984264.363232,3318993073.0937047,562661571.7175025,99559839.21779141,29867951.765337426,431017.832166407,0.0,0.0,0.0,0.0,0.0,0.0
28,3370066790.264332,9502240321.82931,3518679591.1733937,596513986.4827982,105549835.94153957,31664950.782461874,528865.629377618,0.0,0.0,0.0,0.0,0.0,0.0
29,3625466324.5433865,10222364848.682531,3785341703.4671416,641720625.941329,113548899.64572962,34064669.89371888,771054.3704460475,0.0,0.0,0.0,0.0,0.0,0.0
30,3769632967.338738,10628857114.708305,3935865789.5764856,667238642.1005733,118064170.83835146,35419251.251505435,942564.0939492693,0.0,0.0,0.0,0.0,0.0,0.0
31,3928422916.7915707,11076581256.185513,4101658039.165496,695345036.3225355,123037441.14929312,36911232.34478794,989078.1944442176,0.0,0.0,0.0,0.0,0.0,0.0
