,mat_EOL_ReMFG_VAT,mat_EOL_Recycled_2_HQ,mat_EOL_Recycled_2_OQ,mat_EOL_Recycled_HQ_into_MFG,mat_EOL_Recycled_HQ_into_MFG_notUSED,mat_EOL_Recycled_HQ_into_OU,mat_EOL_Recycled_VAT,mat_EnteringModuleManufacturing_total,mat_EnteringModuleManufacturing_virgin,mat_L0,mat_L1,mat_L2,mat_L3,mat_L4,mat_LostinModuleManufacturing,mat_MFG_Recycled_HQ_into_MFG,mat_MFG_Recycled_HQ_into_OU,mat_MFG_Recycled_into_HQ,mat_MFG_Recycled_into_OQ,mat_MFG_Scrap,mat_MFG_Scrap_Landfilled,mat_MFG_Scrap_Recycled_Losses_Landfilled,mat_MFG_Scrap_Recycled_Successfully,mat_MFG_Scrap_Sentto_Recycling,mat_Manufacturing_Input,mat_PG2_stored,mat_Total_EOL_Landfilled,mat_Total_Landfilled,mat_Total_MFG_Landfilled,mat_Total_Recycled_OU,mat_UsedSuccessfullyinModuleManufacturing,mat_Virgin_Stock,mat_Virgin_Stock_Raw,mat_reMFG,mat_reMFG_2_recycle,mat_reMFG_all_unyields,mat_reMFG_mod_unyield,mat_reMFG_target,mat_reMFG_untarget,mat_reMFG_unyield,mat_reMFG_yield,mat_recycled_PG4,mat_recycled_all,mat_recycled_target,mat_recycled_yield
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365689.2429473684,365689.2429473684,0.0,0.0,0.0,0.0,0.0,18284.46214736841,22139.759275603203,78955.03193719679,101094.7912128,0.0,109706.77288421051,5485.338644210526,3126.643027199985,101094.7912128,104221.43423999999,457111.5536842105,0.0,0.0,8611.98167141051,8611.98167141051,78955.03193719679,347404.7808,434971.7944086073,579962.3925448097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389898.3288075753,389898.3288075753,0.9887253052775015,0.10468856173526483,0.0,0.06979237449017657,0.0,19494.916440378758,23605.43906674906,84181.9539321051,107787.39299885415,0.0,116969.49864227255,5848.474932113633,3333.630711304766,107787.39299885415,111121.02371015892,487372.91100946907,0.0,1.1632062415029427,9183.268849659902,9182.1056434184,84181.9539321051,370403.4123671965,463767.47194272,618356.62925696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06979237449017657,0.06979237449017657,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535916.3423899467,535916.3423899467,21.154738021348827,2.2399134375545815,0.0,1.4932756250363877,0.0,26795.817119497282,32445.74195496044,115708.3308987402,148154.07285370064,0.0,160774.90271698387,8038.745135849196,4582.084727434034,148154.07285370064,152736.15758113467,669895.4279874333,0.0,24.887927083939793,12645.71779036717,12620.82986328323,115708.3308987402,509120.5252704494,637449.6860324729,849932.9147099638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4932756250363877,1.4932756250363877,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610414.9905822339,610414.9905822339,126.64102729975838,13.409049949386182,0.0,8.939366632924122,0.0,30520.749529111665,36956.080088074414,131793.14405838412,168749.22414645852,0.0,183124.4971746701,9156.224858733505,5219.048169478076,168749.22414645852,173968.2723159366,763018.7382277923,0.0,148.98944388206868,14524.26247209365,14375.27302821158,131793.14405838412,579894.2410531222,726062.6581397179,968083.5441862905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.939366632924122,8.939366632924122,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773181.8140963523,773181.8140963523,435.39417813301617,46.10056003761348,0.0,30.73370669174232,0.0,38659.090704817674,46810.39863901912,166935.71386791754,213746.11250693665,0.0,231954.5442289057,11597.72721144525,6610.704510523792,213746.11250693665,220356.81701746045,966477.2676204403,0.0,512.2284448623719,18720.660166831414,18208.431721969042,166935.71386791754,734522.7233915346,919666.8689814212,1226222.4919752283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73370669174232,30.73370669174232,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649443.5466515671,649443.5466515671,1097.4611604307513,116.20176992796186,0.0,77.46784661864127,0.0,32472.177332578343,39318.96839532982,140219.70007649588,179538.6684718257,0.0,194833.06399547006,9741.653199773486,5552.742323870887,179538.6684718257,185091.41079569657,811804.4333144588,0.0,1291.1307769773543,16585.52630062173,15294.395523644373,140219.70007649588,616971.3693189888,772485.464919129,1029980.619892172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.46784661864127,77.46784661864127,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631543.5332326365,631543.5332326365,2282.6727468875606,241.69476143515354,0.0,161.12984095676902,0.0,31577.17666163179,38235.25593791354,136354.95382424875,174590.2097621623,0.0,189463.05996979086,9473.152998489531,5399.697209139034,174590.2097621623,179989.90697130133,789429.4165407956,0.0,2685.497349279483,17558.347556908047,14872.850207628566,136354.95382424875,599966.3565710047,751194.160602882,1001592.214137176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.12984095676902,161.12984095676902,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745010.1576786122,745010.1576786122,4169.827265929368,441.5111222748742,0.0,294.34074818324956,0.0,37250.50788393058,45104.81472176525,160853.24336848702,205958.05809025228,0.0,223503.0473035836,11175.15236517918,6369.836848152132,205958.05809025228,212327.8949384044,931262.6970982652,0.0,4905.679136387491,22450.668349718802,17544.98921333131,160853.24336848702,707759.6497946816,886157.8823764999,1181543.8431686666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.34074818324956,294.34074818324956,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069291.2424518554,1069291.2424518554,6931.876180199619,733.9633602564301,0.0,489.30890683762016,0.0,42771.64969807421,62579.69789368011,223172.34728294142,285752.0451766215,0.0,310094.46031103795,15504.723015551863,8837.692118864565,285752.0451766215,294589.7372954861,1336614.0530648192,0.0,8155.148447293669,32497.563581710096,24342.415134416427,223172.34728294142,1026519.5927537812,1274034.3551711391,1698712.4735615188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.30890683762016,489.30890683762016,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054840.735876641,2054840.735876641,10715.412389799414,1134.5730765669966,0.0,756.3820510446645,0.0,82193.62943506567,120258.45472738674,428866.9093246076,549125.3640519943,0.0,595903.813404226,29795.190670211217,16983.258682020474,549125.3640519943,566108.6227340148,2568550.9198458013,0.0,12606.367517411074,59384.81686964277,46778.44935223169,428866.9093246076,1972647.1064415753,2448292.4651184147,3264389.95349122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.3820510446645,756.3820510446645,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2605679.9913693364,2605679.9913693364,286297.45795612724,30313.848489472297,0.0,20209.232326314865,0.0,104227.19965477334,152496.02745609495,543832.8650374893,696328.8924935843,0.0,755647.1974971071,37782.35987485526,21535.945128667518,696328.8924935843,717864.8376222518,3257099.98921167,0.0,336820.5387719144,396138.84377543716,59318.30500352278,543832.8650374893,2501452.791714563,3104603.961755575,4139471.9490074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20209.232326314865,20209.232326314865,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464154.160719124,2464154.160719124,298211.8060550239,31575.367699943705,0.0,21050.245133295804,0.0,98566.16642876482,144213.30393361064,514294.9332061639,658508.2371397746,0.0,714604.7066085455,35730.2353304273,20366.2341383436,658508.2371397746,678874.4712781182,3080192.700898905,0.0,350837.41888826346,406933.88835703436,56096.4694687709,514294.9332061639,2365587.9942903593,2935979.396965294,3914639.1959537254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21050.245133295804,21050.245133295804,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3412643.00633561,3412643.00633561,385.1033453668024,40.775648332955534,0.0,27.183765555303694,0.0,136505.72025342472,199723.1061817833,712254.5476163139,911977.6537980973,0.0,989666.4718373273,49483.3235918663,28205.494447363773,911977.6537980973,940183.148245461,4265803.757919513,0.0,453.0627592550616,78141.88079848513,77688.81803923007,712254.5476163139,3276137.2860821853,4066080.6517377296,5421440.868983639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.183765555303694,27.183765555303694,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7579231.982505661,7579231.982505661,1138.3055347851357,120.52646838901434,0.0,80.35097892600957,0.0,303169.2793002259,443570.49688703316,1581865.5619578671,2025436.0588449002,-2.3283064365386963e-10,2197977.274926641,109898.863746332,62642.35233540903,2025436.0588449,2088078.411180309,9474039.978132077,0.0,1339.1829821001595,173880.3990638412,172541.21608174103,1581865.561957867,7276062.703205436,9030469.481245043,12040625.974993391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.35097892600957,80.35097892600957,0.0,0.0
