,mod_MFG,mod_Install,mod_OandM,mod_Repair,mod_Demount,mod_Store,mod_Resell_Certify,mod_ReMFG_Disassembly,mod_Recycle_Crush,e_out_annual_[Wh]
0,4895590736.842106,5137524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100668430800.0
1,5494448404.475757,5699700.787401575,0.0,0.0,17.20183576319732,0.0,0.0,0.0,72.79092607163497,213384166231.54587
2,7961712978.097418,8165279.50310559,0.0,0.0,368.79351882807225,0.0,0.0,0.0,1560.5788901987898,376637054640.6583
3,9576161844.120256,9710658.499234306,0.0,0.0,2218.415652430315,0.0,0.0,0.0,9387.400971336701,572571845417.191
4,12832048020.352995,12867692.598187309,0.0,0.0,7654.104378737593,0.0,0.0,0.0,32388.946950026446,835196793231.1885
5,17852388422.62138,17705253.353204172,0.0,0.0,19336.688572269693,0.0,0.0,0.0,81824.72427423595,1201028941504.593
6,18443541919.504642,18092713.67647059,0.0,0.0,40280.09209546687,0.0,0.0,0.0,170448.38970923875,1576980256545.9805
7,23171936758.91981,22486745.080564655,0.0,0.0,73659.8099821331,0.0,0.0,0.0,311697.3011875527,2047475954102.3435
8,35518385193.98664,34460390.7413998,0.0,0.0,122551.55220472225,0.0,0.0,0.0,518586.5682768247,2777705349870.9385
9,73120135349.494,70195329.93551424,0.0,0.0,189571.49918710467,0.0,0.0,0.0,802186.7649812219,4290212516914.797
10,69193201819.85858,94694177.76067081,0.0,0.0,4985764.609564952,0.0,0.0,0.0,21097656.558369588,6258736394171.688
11,64785017656.87075,95656669.34680662,0.0,0.0,5398746.1782161705,0.0,0.0,0.0,22845220.66992527,8243056634235.442
12,88689784797.69672,142169704.25399297,0.0,0.0,7401.4217417875925,0.0,0.0,0.0,31319.700423143284,11375452514681.553
13,194319851645.2418,340676095.1565946,0.0,0.0,21929.76397738368,0.0,0.0,0.0,92797.52756745517,19009521546805.934
14,221698055028.8301,428850310.03676057,0.0,0.0,58864.50103364235,0.0,0.0,0.0,249089.78332130762,28665860667572.094
15,440754341158.50366,960783296.1904763,0.0,0.0,145139.29274966117,0.0,0.0,0.0,614168.3756354083,50587899779477.27
16,708907616933.1603,1746680131.02649,0.0,0.0,331638.90202525,0.0,0.0,0.0,1403356.1959384268,91547073404292.23
17,669488965688.4457,1668291189.5129871,0.0,0.0,8190958.189714486,0.0,0.0,0.0,34660686.23437077,130986309579002.52
18,793661190181.4434,2000434318.25,0.0,0.0,9616659.905353593,0.0,0.0,0.0,40693655.59949625,180001365825117.6
19,842897868073.493,2149226301.6871166,0.0,0.0,12370617.673715021,0.0,0.0,0.0,52347245.314036205,233338056258077.12
20,973838893559.0052,2512297145.6176467,0.0,0.0,7709.57844892675,0.0,0.0,0.0,32623.689857563724,298537680275366.8
21,1420126421422.091,3707213873.4857135,0.0,0.0,28421.668623091326,0.0,0.0,0.0,120268.53459455485,397996718486327.94
22,1862860137790.6694,4921518397.288136,0.0,0.0,93458.91128265027,0.0,0.0,0.0,395478.76142763585,531563066228529.5
23,1782976342576.8716,4767883632.282609,0.0,0.0,275788.7410679851,0.0,0.0,0.0,1167021.8306245264,665093132632375.0
24,1774222516479.5962,4803014244.817708,0.0,0.0,744178.6123667832,0.0,0.0,0.0,3149050.549173124,804649204834850.1
25,1749279793814.433,4794650000.0,0.0,0.0,18247561.305830706,0.0,0.0,0.0,77215996.26256783,948601743221833.2
26,1800166132294.1848,4996545454.545455,0.0,0.0,19301085.73687506,0.0,0.0,0.0,81674068.06551343,1104828248230528.8
27,1941795280207.1628,5389651658.767773,0.0,0.0,24807902.913338095,0.0,0.0,0.0,104976599.69644122,1274344183397778.0
28,2041027915370.636,5665082000.042292,0.0,0.0,38452231.76431598,0.0,0.0,0.0,162713654.41321078,1458459520398600.5
29,2177098940723.231,6042761065.892944,0.0,0.0,75517128.72802319,0.0,0.0,0.0,319556692.0912139,1658051993677820.0
30,2336267136286.7837,6484548693.036962,0.0,0.0,102319613.2822724,0.0,0.0,0.0,432973521.4681421,1874749517016016.8
31,2515345837928.8457,6981599968.829613,0.0,0.0,107780371.3924292,0.0,0.0,0.0,456081150.523753,2110522804191256.0
32,2713813266055.3877,7532466640.572409,0.0,0.0,25752763.52000901,0.0,0.0,0.0,108974851.9478276,2368769897961982.5
33,2932149439970.4463,8138481051.002309,0.0,0.0,173734473.3507741,0.0,0.0,0.0,735171139.8632758,2646924679886050.0
34,3171403248951.5283,8802554499.725403,0.0,0.0,373942437.32909596,0.0,0.0,0.0,1582366945.3294377,2945978450040780.5
35,3432932655759.0024,9528456151.451569,0.0,0.0,468759590.9235857,0.0,0.0,0.0,1983593216.3292782,3270158810719653.5
