,Area,Cumulative_Active_Area,EOL_BadStatus,EOL_Landfill0,EOL_PATHS,EOL_PG,Effective_Capacity_[W],Landfill_0_ProjLife,MerchantTail_Area,MerchantTail_[W],ModuleTotal_MFG,P2_stored,P3_reMFG,P4_recycled,PB1_landfill,PB2_stored,PB3_reMFG,PB3_reMFG_unyield,PB3_reMFG_yield,PB4_recycled,PG1_landfill,PG2_stored,PG3_reMFG,PG3_reMFG_unyield,PG3_reMFG_yield,PG4_recycled,Power_Degraded_[W],Repaired_Area,Repaired_[W],Resold_Area,Resold_[W],WeibullParams,Yearly_Sum_Area_EOLby_Degradation,Yearly_Sum_Area_EOLby_Failure,Yearly_Sum_Area_EOLby_ProjectLifetime,Yearly_Sum_Area_PathsBad,Yearly_Sum_Area_PathsGood,Yearly_Sum_Area_atEOL,Yearly_Sum_Power_EOLby_Degradation,Yearly_Sum_Power_EOLby_Failure,Yearly_Sum_Power_EOLby_ProjectLifetime,Yearly_Sum_Power_PathsBad,Yearly_Sum_Power_PathsGood,Yearly_Sum_Power_atEOL,irradiance_stc
0,25417.224,25417.224,0.0,0.0,0.0,0.0,3177153.0,0.0,0.0,0.0,26754.972631578945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'alpha': 4.414845594612703, 'beta': np.float64(17.38498686078816)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
1,28198.51968503937,53615.65858122033,0.01276557285584643,0.07233824618312977,0.01276557285584643,0.0,6734525.79430745,0.0,0.0,0.0,29682.65230004144,0.0,0.0,0.005106229142338572,0.007659343713507858,0.0,0.0,0.0,0.0,0.005106229142338572,0.0,0.0,0.0,0.0,0.0,0.0,23828.6475,0.0,0.0,0.0,0.0,"{'alpha': 4.414845594612703, 'beta': np.float64(17.38498686078816)}",0.0,0.0851038190389762,0.0,0.0851038190389762,0.0,0.0851038190389762,0.0,10.558192549522984,0.0,10.558192549522984,0.0,10.558192549522984,1000.0
2,40396.64596273291,94010.47998654429,0.2736836113408325,1.5508737975980509,0.2736836113408325,0.0,11886879.91412231,0.0,0.0,0.0,42522.78522392938,0.0,0.0,0.10947344453633301,0.1642101668044995,0.0,0.0,0.0,0.0,0.10947344453633301,0.0,0.0,0.0,0.0,0.0,0.0,74337.51117247525,0.0,0.0,0.0,0.0,"{'alpha': 11.394642085167527, 'beta': np.float64(18.58838887153592)}",0.0,1.8245574089388836,0.0,1.8245574089388836,0.0,1.8245574089388836,0.0,224.9367278356483,0.0,224.9367278356483,0.0,224.9367278356483,1000.0
3,48042.20520673814,142041.70987373884,1.6462979315403912,9.329021612062219,1.6462979315403912,0.0,18070693.48281492,0.0,0.0,0.0,50570.742322882244,0.0,0.0,0.6585191726161566,0.9877787589242347,0.0,0.0,0.0,0.0,0.6585191726161566,0.0,0.0,0.0,0.0,0.0,0.0,163485.7887473945,0.0,0.0,0.0,0.0,"{'alpha': 11.394642085167527, 'beta': np.float64(18.58838887153592)}",0.0,10.97531954360261,0.0,10.97531954360261,0.0,10.97531954360261,0.0,1346.831951472829,0.0,1346.831951472829,0.0,1346.831951472829,1000.0
4,63661.216012084595,205665.0582115286,5.680151144221055,32.18752315058598,5.680151144221055,0.0,26359286.383202963,0.0,0.0,0.0,67011.8063285101,0.0,0.0,2.2720604576884225,3.408090686532633,0.0,0.0,0.0,0.0,2.2720604576884225,0.0,0.0,0.0,0.0,0.0,0.0,298987.0679513855,0.0,0.0,0.0,0.0,"{'alpha': 11.394642085167527, 'beta': np.float64(18.58838887153592)}",0.0,37.86767429480703,0.0,37.86767429480703,0.0,37.86767429480703,0.0,4621.898490844896,0.0,4621.898490844896,0.0,4621.898490844896,1000.0
5,87594.41132637853,293163.80381549697,14.349858361526454,81.3158640486499,14.349858361526454,0.0,37905157.299701765,0.0,0.0,0.0,92204.64350145108,0.0,0.0,5.739943344610581,8.609915016915874,0.0,0.0,0.0,0.0,5.739943344610581,0.0,0.0,0.0,0.0,0.0,0.0,496550.0614289219,0.0,0.0,0.0,0.0,"{'alpha': 18.601996833341058, 'beta': np.float64(22.94771092508614)}",0.0,95.66572241017636,0.0,95.66572241017636,0.0,95.66572241017636,0.0,11604.435627172714,0.0,11604.435627172714,0.0,11604.435627172714,1000.0
6,89511.32029411764,382475.8436539845,29.892068344530674,169.3883872856738,29.892068344530674,0.0,49770394.88158817,0.0,0.0,0.0,94222.44241486068,0.0,0.0,11.956827337812271,17.935241006718403,0.0,0.0,0.0,0.0,11.956827337812271,0.0,0.0,0.0,0.0,0.0,0.0,780423.2309748384,0.0,0.0,0.0,0.0,"{'alpha': 18.601996833341058, 'beta': np.float64(22.94771092508614)}",0.0,199.2804556302045,0.0,199.2804556302045,0.0,199.2804556302045,0.0,24013.298365843722,0.0,24013.298365843722,0.0,24013.298365843722,1000.0
7,111250.21250384618,493361.6339400242,54.663332670951405,309.75888513539127,54.663332670951405,0.0,64619507.01236244,0.0,0.0,0.0,117105.48684615387,0.0,0.0,21.865333068380565,32.79799960257084,0.0,0.0,0.0,0.0,21.865333068380565,0.0,0.0,0.0,0.0,0.0,0.0,1152660.6473967484,0.0,0.0,0.0,0.0,"{'alpha': 18.601996833341058, 'beta': np.float64(22.94771092508614)}",0.0,364.42221780634276,0.0,364.42221780634276,0.0,364.42221780634276,0.0,43611.28761381483,0.0,43611.28761381483,0.0,43611.28761381483,1000.0
8,170488.24893113587,663243.5751918314,90.94615189929387,515.3615274293319,90.94615189929387,0.0,87665962.55971938,0.0,0.0,0.0,177591.9259699332,0.0,0.0,36.37846075971755,54.56769113957631,0.0,0.0,0.0,0.0,36.37846075971755,0.0,0.0,0.0,0.0,0.0,0.0,1635082.7532722843,0.0,0.0,0.0,0.0,"{'alpha': 18.601996833341058, 'beta': np.float64(22.94771092508614)}",0.0,606.3076793286258,0.0,606.3076793286258,0.0,606.3076793286258,0.0,72049.05005034507,0.0,72049.05005034507,0.0,72049.05005034507,1000.0
9,347282.15862833365,1009587.8537715552,140.68200729148296,797.1980413184034,140.68200729148296,0.0,135401550.0234995,0.0,0.0,0.0,361752.2485711809,0.0,0.0,56.27280291659318,84.40920437488977,0.0,0.0,0.0,0.0,56.27280291659318,0.0,0.0,0.0,0.0,0.0,0.0,2288342.647195114,0.0,0.0,0.0,0.0,"{'alpha': 18.601996833341058, 'beta': np.float64(22.94771092508614)}",0.0,937.8800486098862,0.0,937.8800486098862,0.0,937.8800486098862,0.0,110659.31702199066,0.0,110659.31702199066,0.0,110659.31702199066,1000.0
