,mat_EOL_ReMFG_VAT,mat_EOL_Recycled_2_HQ,mat_EOL_Recycled_2_OQ,mat_EOL_Recycled_HQ_into_MFG,mat_EOL_Recycled_HQ_into_MFG_notUSED,mat_EOL_Recycled_HQ_into_OU,mat_EOL_Recycled_VAT,mat_EnteringModuleManufacturing_total,mat_EnteringModuleManufacturing_virgin,mat_L0,mat_L1,mat_L2,mat_L3,mat_L4,mat_LostinModuleManufacturing,mat_MFG_Recycled_HQ_into_MFG,mat_MFG_Recycled_HQ_into_OU,mat_MFG_Recycled_into_HQ,mat_MFG_Recycled_into_OQ,mat_MFG_Scrap,mat_MFG_Scrap_Landfilled,mat_MFG_Scrap_Recycled_Losses_Landfilled,mat_MFG_Scrap_Recycled_Successfully,mat_MFG_Scrap_Sentto_Recycling,mat_Manufacturing_Input,mat_PG2_stored,mat_Total_EOL_Landfilled,mat_Total_Landfilled,mat_Total_MFG_Landfilled,mat_Total_Recycled_OU,mat_UsedSuccessfullyinModuleManufacturing,mat_Virgin_Stock,mat_Virgin_Stock_Raw,mat_reMFG,mat_reMFG_2_recycle,mat_reMFG_all_unyields,mat_reMFG_mod_unyield,mat_reMFG_target,mat_reMFG_untarget,mat_reMFG_unyield,mat_reMFG_yield,mat_recycled_PG4,mat_recycled_all,mat_recycled_target,mat_recycled_yield
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838853780.2105265,838853780.2105265,0.0,0.0,0.0,0.0,0.0,41942689.0105263,688743.1037517997,6198687.933766196,6887431.037517996,27549724.150071986,86092887.96897495,17218577.593794987,34437155.18758998,34437155.18758998,68874310.37517996,883003979.1689751,0.0,0.0,51655732.78138497,51655732.78138497,33748412.08383818,796911091.2000002,882315236.0652233,1470525393.442039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,8.645215324768227,48.98955350701995,0.6916172259814581,0.0,7.9535980987867685,0.6916172259814581,930645881.4753418,930645881.4753418,2268.034884584257,240.14487013245068,0.0,16.00965800883003,86.45215324768226,46532294.073767066,764109.2500534382,6876983.250480943,7641092.500534382,30564370.00213753,95513656.25667977,19102731.25133595,38205462.50267191,38205462.50267191,76410925.00534382,979627243.6582545,0.0,2610.64156597322,57310804.39557383,57308193.75400786,37441410.19577008,884113587.4015747,978863133.7165838,1631438556.1943064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.09658008830047,160.09658008830047,144.08692207947044,57.63476883178818
2,0.0,185.34646095557403,1050.2966120815863,14.827716876445923,0.0,170.5187440791281,14.827716876445923,1333225027.7868586,1333225027.7868586,48624.843151925284,5148.512804321501,0.0,343.23418695476676,1853.46460955574,66661251.38934302,1094647.9175513154,9851831.25796184,10946479.175513154,43785916.70205261,136830989.6939144,27366197.938782886,54732395.877565764,54732395.877565764,109464791.75513153,1403394766.09143,0.0,55970.05475275729,82154563.8711014,82098593.81634864,53638968.775370605,1266563776.3975155,1402300103.3461618,2337166838.9102697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432.341869547667,3432.341869547667,3089.1076825929003,1235.6430730371603
3,0.0,1114.9205967963212,6317.883381845821,89.1936477437057,0.0,1025.7269490526155,89.1936477437057,1585554167.8084958,1585554167.8084958,292494.60101138055,30970.016577675582,0.0,2064.6677718450374,11149.205967963213,79277708.39042473,1301823.4219901315,11716410.797911182,13018234.219901314,52072936.879605256,162727927.74876642,32545585.54975328,65091171.09950657,65091171.09950657,130182342.19901314,1669004387.1668375,0.0,336678.49132886436,97973435.14058872,97636756.64925985,63796691.28784734,1506276459.418071,1667702474.5511994,2779504124.251999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20646.67771845039,20646.67771845039,18582.009946605354,7432.803978642141
4,0.0,3846.762716686843,21798.32206122544,307.74101733494746,0.0,3539.021699351895,307.74101733494746,2101033995.8657975,2101033995.8657975,1009181.5769085851,106854.51990796784,0.0,7123.634660531185,38467.62716686842,105051699.7932899,1725059.4913424435,15525535.422081992,17250594.913424436,69002379.65369774,215632436.41780543,43126487.28356108,86252974.56712218,86252974.56712218,172505949.13424435,2211614732.490313,0.0,1161627.3586439525,130541089.2093272,129379461.85068326,84553252.41954032,1995982296.0725076,2209889365.257953,3683148942.0965886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71236.34660531189,71236.34660531189,64112.711944780705,25645.084777912285
5,0.0,9718.139312369796,55069.456103428834,777.4511449895837,0.0,8940.688167380213,777.4511449895837,2890909843.9093266,2890909843.9093266,2549511.8566402234,269948.3142324943,0.0,17996.554282166297,97181.39312369796,144545492.19546652,2373589.134999237,21362302.214993134,23735891.349992372,94943565.39996949,296698641.87490463,59339728.37498093,118679456.74996185,118679456.74996185,237358913.4999237,3043062993.5887647,0.0,2934638.118278582,180953823.24322137,178019185.12494278,116369877.75923343,2746364351.71386,3040688627.00262,5067814378.337701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179965.54282166288,179965.54282166288,161968.98853949658,64787.595415798634
6,0.0,20243.773644893805,114714.71732106488,1619.5018915915043,0.0,18624.271753302302,1619.5018915915043,2954174279.628483,2954174279.628483,5310866.542641894,562327.0456914946,0.0,37488.469712766295,202437.73644893803,147708713.98142385,2425532.566431805,21829793.097886242,24255325.664318047,97021302.65727219,303191570.8039756,60638314.16079512,121276628.32159023,121276628.32159023,242553256.64318046,3109657136.4510345,0.0,6113119.794495093,188028062.27688044,181914942.48238534,118984434.7442328,2806465565.647059,3107229984.382711,5178716640.637852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374884.697127663,374884.697127663,337396.2274148967,134958.49096595868
7,0.0,37019.59063226687,209777.68024951222,2961.5672505813495,0.0,34058.02338168552,2961.5672505813495,3671630753.5423903,3671630753.5423903,9711929.64118112,1028321.9620074128,0.0,68554.79746716085,370195.9063226686,183581537.67711926,3014602.0923821684,27131418.831439517,30146020.923821684,120584083.69528672,376825261.547771,75365052.30955416,150730104.6191084,150730104.6191084,301460209.2382168,3864874477.413042,0.0,11179002.306978364,237274159.23564094,226095156.92866257,147959338.23035744,3488049215.865271,3861856913.7534094,6436428189.589016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685547.9746716085,685547.9746716085,616993.1772044477,246797.27088177908
8,0.0,61591.36569953337,349017.7389640224,4927.30925596267,0.0,56664.056443570706,4927.30925596267,5568073661.899863,5568073661.899863,16158228.655741781,1710871.2694314825,0.0,114058.08462876547,615913.6569953337,222722946.47599506,4126235.639976318,37136120.75978687,41262356.39976318,165049425.59905273,515779454.9970398,103155890.99940795,206311781.99881592,206311781.99881592,412623563.99763185,5861130170.420908,0.0,18599071.666797362,328066744.66502124,309467672.9982239,202591228.1542472,5345350715.423868,5856999007.471676,9761665012.452793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140580.846287655,1140580.846287655,1026522.7616588895,410609.1046635558
9,0.0,95273.92613630115,539885.5814390398,7621.914090904092,0.0,87652.01204539706,7621.914090904092,11342087521.159409,11342087521.159409,24994702.844399985,2646497.948230586,0.0,176433.1965487057,952739.2613630112,453683500.8463764,8405083.805153916,75645754.24638523,84050838.05153915,336203352.2061566,1050635475.6442394,210127095.12884784,420254190.2576958,420254190.2576958,840508380.5153916,11939039495.957272,0.0,28770373.250542287,659151658.6370859,630381285.3865436,412476644.0460263,10888404020.313032,11930626790.238026,19884377983.73004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764331.9654870578,1764331.9654870578,1587898.7689383521,635159.5075753409
