,mat_extraction,mat_MFG_virgin,mat_MFG_virgin_fuel,mat_MFGScrap_LQ,mat_MFGScrap_HQ,mat_MFGScrap_HQ_fuel,mat_Landfill,mat_Landfill_fuel,mat_EoL_ReMFG_clean,mat_Recycled_LQ,mat_Recycled_HQ,mat_Recycled_HQ_fuel,mat_Recycled_HQ_elec
0,62042032.78651651,8567219.095257916,4448936.824591143,0.0,0.0,0.0,31424.624968709977,0.0,0.0,0.0,0.0,0.0,0.0
1,68780500.32521255,9497716.133756608,4932141.758855195,0.0,0.0,0.0,34593.936004436626,0.0,0.0,0.0,0.0,0.0,0.0
2,98461326.10764492,13596262.32874106,7060507.205263252,0.0,0.0,0.0,49191.99258263035,0.0,0.0,0.0,0.0,0.0,0.0
3,117010515.33175436,16157670.47391195,8390640.460074732,0.0,0.0,0.0,58147.05469693922,0.0,0.0,0.0,0.0,0.0,0.0
4,154938271.60871917,21395013.34006831,11110380.352468751,0.0,0.0,0.0,76719.41170666025,0.0,0.0,0.0,0.0,0.0,0.0
5,213030716.04588455,29416844.297555164,15276098.393596318,0.0,0.0,0.0,105242.04467896045,0.0,0.0,0.0,0.0,0.0,0.0
6,217533464.33374307,31250675.498865128,16016206.829511777,0.0,0.0,0.0,107893.81519656468,0.0,0.0,0.0,0.0,0.0,0.0
7,270166489.1707384,40317212.583898835,20351984.693651,0.0,0.0,0.0,134420.45099097444,0.0,0.0,0.0,0.0,0.0,0.0
8,409411654.15502775,63378077.028381415,31452242.566837493,0.0,0.0,0.0,181881.7714776277,0.0,0.0,0.0,0.0,0.0,0.0
9,833357221.6973393,133649366.5247749,65086595.75728607,0.0,0.0,0.0,363719.8560046521,0.0,0.0,0.0,0.0,0.0,0.0
10,1123387203.2169442,186422139.57826242,88935438.36591467,0.0,0.0,0.0,763017.5633443407,0.0,0.0,0.0,0.0,0.0,0.0
11,1128925726.0922718,193631415.95897323,90336240.95498641,0.0,0.0,0.0,760505.6444873656,0.0,0.0,0.0,0.0,0.0,0.0
12,1669216825.8827922,295601810.6452813,134637316.66175097,0.0,0.0,0.0,614993.5605886583,0.0,0.0,0.0,0.0,0.0,0.0
