,mod_MFG,mod_Install,mod_OandM,mod_Repair,mod_Demount,mod_Store,mod_Resell_Certify,mod_ReMFG_Disassembly,mod_Recycle_Crush,e_out_annual_[Wh]
0,22030158.315789472,23118.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453007938.59999996
1,24725017.820140906,25648.653543307086,0.0,0.0,0.07740826093438792,0.0,0.0,0.0,0.32755916732235735,960228748.0419562
2,35827708.40143838,36743.757763975154,0.0,0.0,1.6595708347263247,0.0,0.0,0.0,7.022605005894553,1694866745.8829627
3,43092728.29854116,43697.96324655438,0.0,0.0,9.982870435936416,0.0,0.0,0.0,42.24330437101515,2576573304.37736
4,57744216.09158849,57904.6166918429,0.0,0.0,34.44346970431916,0.0,0.0,0.0,145.750261275119,3758385569.5403476
5,80335747.90179622,79673.64008941877,0.0,0.0,87.0150985752136,0.0,0.0,0.0,368.2112592340618,5404630236.77067
6,82995938.6377709,81417.21154411766,0.0,0.0,181.26041442960093,0.0,0.0,0.0,767.0177536915743,7096411154.456914
7,104273715.41513912,101190.35286254092,0.0,0.0,331.469144919599,0.0,0.0,0.0,1402.637855343987,9213641793.460546
8,159832733.3729399,155071.75833629913,0.0,0.0,551.48198492125,0.0,0.0,0.0,2333.639557245711,12499674074.419222
9,329040609.072723,315878.9847098141,0.0,0.0,853.0717463419711,0.0,0.0,0.0,3609.840442415499,19305956326.116585
10,311369408.1893636,426123.7999230186,0.0,0.0,22435.94074304228,0.0,0.0,0.0,94939.45451266311,28164313773.7726
11,291532579.4559183,430455.0120606298,0.0,0.0,24294.35780197277,0.0,0.0,0.0,102803.49301466369,37093754854.05948
12,399104031.58963525,639763.6691429684,0.0,0.0,33.30639783804417,0.0,0.0,0.0,140.9386519041448,51189536316.067
13,874439332.4035882,1533042.428204676,0.0,0.0,98.68393789822653,0.0,0.0,0.0,417.58887405354824,85542846960.62672
14,997641247.629736,1929826.3951654232,0.0,0.0,264.89025465139065,0.0,0.0,0.0,1120.9040249458844,128996373004.07445
15,1983394535.2132666,4323524.832857143,0.0,0.0,653.1268173734752,0.0,0.0,0.0,2763.757690359337,227645549007.64774
16,3190084276.1992226,7860060.589619207,0.0,0.0,1492.3750591136256,0.0,0.0,0.0,6315.102881722921,411961830319.31506
17,3012700345.5980053,7507310.352808441,0.0,0.0,36859.31185371519,0.0,0.0,0.0,155973.08805466848,589438393105.5112
18,3571475355.816495,9001954.432125,0.0,0.0,43274.96957409116,0.0,0.0,0.0,183121.45019773315,810006146213.0292
19,3793040406.3307195,9671518.357592024,0.0,0.0,55667.77953171761,0.0,0.0,0.0,235562.60391316298,1050021253161.3469
20,4382275021.015525,11305337.155279413,0.0,0.0,34.69310302017038,0.0,0.0,0.0,146.80660435903678,1343419561239.151
21,6390568896.39941,16682462.430685714,0.0,0.0,127.89750880391092,0.0,0.0,0.0,541.2084056754969,1790985233188.4758
22,8382870620.058012,22146832.78779661,0.0,0.0,420.56510077192615,0.0,0.0,0.0,1779.6544264243614,2392033798028.3823
23,8023393541.595923,21455476.345271748,0.0,0.0,1241.0493348059335,0.0,0.0,0.0,5251.59823781037,2977864109331.975
24,7984001324.158183,21613564.101679686,0.0,0.0,3348.8037556505246,0.0,0.0,0.0,14170.72747127906,3576244293352.698
25,7871759072.164949,21575925.0,0.0,0.0,82114.02587623819,0.0,0.0,0.0,347471.98318155523,4179644655588.864
26,8100747595.323832,22484454.545454554,0.0,0.0,86854.88581593779,0.0,0.0,0.0,367533.30629481043,4823469076281.51
27,8738078760.932232,24253432.46445497,0.0,0.0,111635.56311002141,0.0,0.0,0.0,472394.69863398536,5511407709507.722
28,9184625619.167862,25492869.000190318,0.0,0.0,173035.04293942192,0.0,0.0,0.0,732211.4448594486,6247179797643.556
29,9796945233.254541,27192424.79651825,0.0,0.0,22486659.866994284,0.0,0.0,0.0,95154076.48980735,6544196097512.002
30,10513202113.290527,29180469.118666325,0.0,0.0,21915914.604369726,0.0,0.0,0.0,92738922.85217504,6910062895611.498
31,11319056270.67981,31417199.859733265,0.0,0.0,22098575.7681937,0.0,0.0,0.0,93511867.98751438,7330104681135.116
32,12212159697.249247,33896099.88257585,0.0,0.0,21691812.408616237,0.0,0.0,0.0,91790616.71856554,7822954604870.505
33,13194672479.867012,36623164.7295104,0.0,0.0,23266259.543931734,0.0,0.0,0.0,98453014.07011111,8348228129944.087
34,14271314620.28188,39611495.248764314,0.0,0.0,25936172.87907377,0.0,0.0,0.0,109750963.13039638,8905290947828.709
35,15448196950.915518,42878052.68153208,0.0,0.0,27602285.088562846,0.0,0.0,0.0,116801248.48002388,9507613715921.379
36,16732734197.491621,46443417.35839918,0.0,0.0,27601631.10838766,0.0,0.0,0.0,116798481.11128251,10201744207671.922
37,17948392177.185333,50331184.087227546,0.0,0.0,33750025.79062146,0.0,0.0,0.0,142815898.60873505,10878220559659.76
38,19459067487.881443,54567445.274751864,0.0,0.0,32042539.670737956,0.0,0.0,0.0,135590536.29091218,11701529628736.95
39,21104459208.777122,59181480.49208284,0.0,0.0,41859078.64852541,0.0,0.0,0.0,177129995.96533912,12454255229697.96
40,22895841918.760128,64204906.10351108,0.0,0.0,42355209.629558295,0.0,0.0,0.0,179229413.37981507,13332644506703.436
41,24845859854.004017,69673179.28939079,0.0,0.0,39897476.554739,0.0,0.0,0.0,168829321.84215873,14411788541310.463
42,26968058054.922787,75624283.28052144,0.0,0.0,51445633.154948026,0.0,0.0,0.0,217696258.19251692,15414952445770.092
43,29277366861.68406,82100085.98863812,0.0,0.0,46621831.540554665,0.0,0.0,0.0,197283960.83476818,16701056856666.428
44,31790020581.444622,89146111.93170163,0.0,0.0,50646246.937080815,0.0,0.0,0.0,214313592.30217355,18099698424550.79
45,34523854021.63389,96812373.77753358,0.0,0.0,63790489.10364753,0.0,0.0,0.0,269934490.73332953,19436907982154.773
46,37498038847.87265,105152633.0342453,0.0,0.0,59391654.270981945,0.0,0.0,0.0,251320473.86247092,21101690875551.707
47,40733691957.09005,114226106.06039408,0.0,0.0,64572006.09707387,0.0,0.0,0.0,273241541.5897231,22912112249350.926
48,44253674427.39596,124096900.27682419,0.0,0.0,80819804.79154134,0.0,0.0,0.0,341995384.4863118,24652185456807.914
49,48082887829.63077,134834845.08851278,0.0,0.0,91641836.51192024,0.0,0.0,0.0,387789666.0820204,26455731123018.535
50,52248506222.009186,146516142.4478631,0.0,0.0,82100085.98863813,0.0,0.0,0.0,347412995.4466583,28810287643071.15
51,56780084381.02058,159223670.35762092,0.0,0.0,89146111.93170168,0.0,0.0,0.0,377228810.4899376,31374406645496.676
52,61709727046.20355,173047457.46992624,0.0,0.0,96812373.77753362,0.0,0.0,0.0,409669202.72177386,34166730746786.04
53,67072379909.95895,188085499.08485478,0.0,0.0,105152633.03424534,0.0,0.0,0.0,444961668.2080697,37207569619071.65
54,72906240261.72646,204444908.68574497,0.0,0.0,114226106.06039415,0.0,0.0,0.0,483356785.6450363,40519045803433.98
55,79252617174.24994,222241525.87116477,0.0,0.0,124096900.27682424,0.0,0.0,0.0,525125830.64508784,44125238465229.01
