,mat_extraction,mat_MFG_virgin,mat_MFG_virgin_fuel,mat_MFGScrap_LQ,mat_MFGScrap_HQ,mat_MFGScrap_HQ_fuel,mat_Landfill,mat_Landfill_fuel,mat_EoL_ReMFG_clean,mat_Recycled_LQ,mat_Recycled_HQ,mat_Recycled_HQ_fuel,mat_Recycled_HQ_elec
0,452487.275191659,10316417947.095509,1960119409.9481468,13370269.16372773,0.0,0.0,601662.1123677478,0.0,0.0,0.0,0.0,0.0,0.0
1,482507.66935663583,10288479904.164488,2057695980.8328977,14542469.859138452,0.0,0.0,654413.0059836434,0.0,0.0,0.40114645407554106,0.0,0.0,0.0
2,664379.3523831875,13588623761.706177,2717724752.3412356,20416591.81465548,0.0,0.0,918786.5178417533,0.0,0.0,8.591530911582797,0.0,0.0,0.0
3,759392.6407631373,14756664774.530075,3098899602.651316,23785157.37017341,0.0,0.0,1070571.4304022028,0.0,0.0,51.55600310165658,0.0,0.0,0.0
4,967068.2173298079,17854425212.229008,3927973546.6903815,30861330.5174204,0.0,0.0,1389584.218761463,0.0,0.0,177.5649924706592,0.0,0.0,0.0
5,1278643.9346968923,18304571610.17825,4393097186.44278,41560052.535502866,0.0,0.0,1872282.5684997963,0.0,0.0,448.0784926585799,0.0,0.0,0.0
6,1255395.3977974344,16663421968.400496,4165855492.100124,41546298.27446271,0.0,0.0,1873913.418283551,0.0,0.0,932.6862536842746,0.0,0.0,0.0
7,1498845.0999274412,16998092839.28874,4589485066.60796,50488838.94026553,0.0,0.0,2279911.732380917,0.0,0.0,1704.6806825995511,0.0,0.0,0.0
8,2183058.4652704997,20577368251.1581,6378984157.859012,74238635.43728654,0.0,0.0,3353900.1028291383,0.0,0.0,2835.004448302411,0.0,0.0,0.0
9,3892223.642542218,34496552143.76922,10693931164.568459,124709019.59258603,0.0,0.0,5632258.114542026,0.0,0.0,4383.895072839132,0.0,0.0,0.0
10,5107268.128293475,47163479407.18806,13677409028.084536,190031385.3504138,0.0,0.0,9090926.654080821,0.0,0.0,116212.02225357029,0.0,0.0,0.0
11,5019091.7374674715,44389915906.98383,12873075613.025312,213982174.9155061,0.0,0.0,10202215.410375616,0.0,0.0,123428.6567965199,0.0,0.0,0.0
12,7258134.943272814,64603207503.082664,18734930175.893974,320420153.79593456,0.0,0.0,14419670.005238933,0.0,0.0,164.369288504147,0.0,0.0,0.0
13,16924911.675629318,152091296457.4115,42585563008.07522,773536303.6373758,0.0,0.0,34811392.03638333,0.0,0.0,486.4561553949052,0.0,0.0,0.0
14,20735338.407957092,183870813997.1248,49645119779.223694,958073260.4886057,0.0,0.0,43119352.471991435,0.0,0.0,1304.415725186667,0.0,0.0,0.0
15,28732341.877353862,249367068303.81622,67329108442.03038,1005270242.5951285,0.0,0.0,45252078.24629558,0.0,0.0,3213.2104501453396,0.0,0.0,0.0
16,51105081.87894048,421399316765.5164,117991808694.34459,1804517350.728795,0.0,0.0,81237336.14045455,0.0,0.0,7335.564385305184,0.0,0.0,0.0
17,49096047.587697126,400738094594.18384,112206666486.37149,1793595341.272827,0.0,0.0,81562790.776979,0.0,0.0,183306.49858951068,0.0,0.0,0.0
18,56513695.78195137,447118860011.3313,125193280803.17278,2046010907.8510594,0.0,0.0,93049775.28338192,0.0,0.0,210939.02640479212,0.0,0.0,0.0
19,59583374.29097567,466056925206.4814,130495939057.81479,2180112766.224555,0.0,0.0,99339304.38154438,0.0,0.0,265854.58297025575,0.0,0.0,0.0
20,68100754.70388469,534740306726.1356,144379882816.0566,2508434478.9655714,0.0,0.0,112880256.10430487,0.0,0.0,151.76108867364556,0.0,0.0,0.0
21,93740454.91591682,717685389716.058,193775055223.33566,3310473734.072521,0.0,0.0,148973814.7139753,0.0,0.0,537.7879831719557,0.0,0.0,0.0
22,110498988.72566873,829110270140.4668,223859772937.92603,3486758528.241521,0.0,0.0,156912166.9978934,0.0,0.0,1730.3666181950712,0.0,0.0,0.0
23,96517430.13389444,733624004902.9506,183406001225.73767,2786123065.01298,0.0,0.0,125399116.57672404,0.0,0.0,5078.869389324173,0.0,0.0,0.0
