year,Electricity_demand_twh,
2000,14971.79,
2001,15196.35,
2002,15733.18,
2003,16292.11,
2004,17093.14,
2005,17763.94,
2006,18471.24,
2007,19357.62,
2008,19660.04,
2009,19561.35,
2010,20938.06,
2011,21654.23,
2012,22169.89,
2013,22808.29,
2014,23422.83,
2015,23660.36,
2016,24294.39,
2017,25026.4,
2018,26022.01,
2019,26365.58,
2020,26276.91,
2021,27834.92,
2022,28528.36,
2050,58000,Bogdanov et al 2019
2050,103400,Jacobson et al
2050,105000,Puriheimo et al
2050,85300,Luderer et al 
