year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,12.5,12.5,16,21,0.75,10,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1996,9.667666667,12.7,16,21,0.75,10,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1997,11.622,12.88,19,23,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1998,11.781,13.06,19,23,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1999,16.88466667,13.24,19,23,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2000,20.92666667,13.42,19,23,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2001,27.985,13.6,19,23,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2002,42.476,13.72222222,19,23,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2003,59.745,13.84444444,19,23,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2004,94.752,13.96666667,19,23,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2005,96.58117322,14.08888889,19,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2006,98.21307161,14.21111111,20,25,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2007,324.2327484,14.33333333,20,25,0.75,21.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2008,314.5851087,14.45555556,21,26,0.75,21.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2009,431.2448039,14.57777778,24,29,0.75,21.6,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2010,719.8444376,14.7,25,30,0.75,22.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2011,1781.377078,15.1,25,30,0.75,23,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2012,3064.162281,15.4,25,30,0.75,23.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2013,4037.449113,16,28,33,0.75,24.2,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2014,3722.199485,16.3,28,33,0.75,26,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2015,6834.328813,17,28,33,0.75,28.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2016,12897.66595,17.5,28,33,0.75,28.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2017,9784.506215,17.7,28,33,0.75,29.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2018,9352.529448,18.4,28,33,0.75,31,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2019,10949.78234,19.2,28,33,0.75,32.4,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2020,14903.79,20,33,38,0.75,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2021,16455.56,20.9,33,38,0.75,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2022,0,19,29,32,0.7,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2023,0,19.375,29.625,32.625,0.6875,25.625,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2024,0,19.75,30.25,33.25,0.675,26.25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2025,0,20.125,30.875,33.875,0.6625,26.875,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2026,0,20.5,31.5,34.5,0.65,27.5,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2027,0,20.875,32.125,35.125,0.6375,28.125,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2028,0,21.25,32.75,35.75,0.625,28.75,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2029,0,21.625,33.375,36.375,0.6125,29.375,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2030,0,22,34,37,0.6,30,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2031,0,22.125,34.25,37.25,0.595,30.25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2032,0,22.25,34.5,37.5,0.59,30.5,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2033,0,22.375,34.75,37.75,0.585,30.75,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2034,0,22.5,35,38,0.58,31,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2035,0,22.625,35.25,38.25,0.575,31.25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2036,0,22.75,35.5,38.5,0.57,31.5,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2037,0,22.875,35.75,38.75,0.565,31.75,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2038,0,23,36,39,0.56,32,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2039,0,23.125,36.25,39.25,0.555,32.25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2040,0,23.25,36.5,39.5,0.55,32.5,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
