year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,12.5,12.5,16,21,0.75,10,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1996,9.667666667,12.7,16,21,0.75,10,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1997,11.622,12.88,18,20,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1998,11.781,13.06,18,20,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1999,16.88466667,13.24,18,20,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2000,20.92666667,13.42,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2001,27.985,13.6,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2002,42.476,13.72222222,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2003,59.745,13.84444444,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2004,94.752,13.96666667,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2005,96.58117322,14.08888889,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2006,98.21307161,14.21111111,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2007,324.2327484,14.33333333,24,26,0.75,21.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2008,314.5851087,14.45555556,24,26,0.75,21.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2009,431.2448039,14.57777778,24,26,0.75,21.6,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2010,719.8444376,14.7,25,27,0.75,22.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2011,1781.377078,15.1,26.5,29,0.75,23,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2012,3064.162281,15.4,25,30,0.75,23.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2013,4037.449113,16,27.6,30.2,0.75,24.2,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2014,3722.199485,16.3,29.5,32,0.75,26,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2015,6834.328813,17,32.4,35,0.75,28.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2016,12897.66595,17.5,32.4,35,0.75,28.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2017,9784.506215,17.7,32.6,35,0.75,29.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2018,9352.529448,18.4,33.8,36,0.75,31,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2019,10949.78234,19.2,35,37,0.75,32.4,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2020,14903.79,20,39,42,0.75,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2021,16455.56,20.9,39,42,0.75,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2022,0,23.56,35.76,40,0.7,30,98,0,0,15,0,75,0,0,75,0,0,100,0,0,75
2023,0,23.74,36.39,40.625,0.6875,30.625,98,0,0,16.875,0,75.625,0,0,75.625,0,0,100,0,0,75.625
2024,0,23.92,37.02,41.25,0.675,31.25,98,0,0,18.75,0,76.25,0,0,76.25,0,0,100,0,0,76.25
2025,0,24.1,37.66,41.875,0.6625,31.875,98,0,0,20.625,0,76.875,0,0,76.875,0,0,100,0,0,76.875
2026,0,24.28,38.29,42.5,0.65,32.5,98,0,0,22.5,0,77.5,0,0,77.5,0,0,100,0,0,77.5
2027,0,24.46,38.92,43.125,0.6375,33.125,98,0,0,24.375,0,78.125,0,0,78.125,0,0,100,0,0,78.125
2028,0,24.64,39.55,43.75,0.625,33.75,98,0,0,26.25,0,78.75,0,0,78.75,0,0,100,0,0,78.75
2029,0,24.82,40.18,44.375,0.6125,34.375,98,0,0,28.125,0,79.375,0,0,79.375,0,0,100,0,0,79.375
2030,0,25,40.81,45,0.6,35,98,0,0,30,0,80,0,0,80,0,0,100,0,0,80
2031,0,25,40.96,45.15,0.595,35.15,98,0,0,32.25,0,80.75,0,0,80.75,0,0,100,0,0,80.75
2032,0,25,41.11,45.3,0.59,35.3,98,0,0,34.5,0,81.5,0,0,81.5,0,0,100,0,0,81.5
2033,0,25,41.26,45.45,0.585,35.45,98,0,0,36.75,0,82.25,0,0,82.25,0,0,100,0,0,82.25
2034,0,25,41.41,45.6,0.58,35.6,98,0,0,39,0,83,0,0,83,0,0,100,0,0,83
2035,0,25,41.56,45.75,0.575,35.75,98,0,0,41.25,0,83.75,0,0,83.75,0,0,100,0,0,83.75
2036,0,25,41.71,45.9,0.57,35.9,98,0,0,43.5,0,84.5,0,0,84.5,0,0,100,0,0,84.5
2037,0,25,41.86,46.05,0.565,36.05,98,0,0,45.75,0,85.25,0,0,85.25,0,0,100,0,0,85.25
2038,0,25,42.02,46.2,0.56,36.2,98,0,0,48,0,86,0,0,86,0,0,100,0,0,86
